stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,paraxial.mesoderm,somites,spinal.cord
  3-4,27.96,39.18,0,0,0,0,0,0,0,0,0
  5-6,0,30.66,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,17.48,4.63,0,0
 10-12,0,0,0,0,0,0,0,3.38,3.04,0,0
 14-21,0,0,0.9,0,0,0,0,0.96,0,0.93,0
 24-34,0,0,0,0,0,0,0,1.62,0,0,4.33
 36-46,0,0,0,0,0,0,0,1.07,0,0,0
 48-58,0,0,0,0.7,0,0,0,0,0,0,0.63
 60-70,0,0,0,0.7,0,0,0,2.21,0,0,0
 84-94,0,0,0,0,0.62,0,1.62,0.96,0,0,0
 96-106,0,0,0,0.57,0,0,0,1.26,0,0,0
108-118,0,0,0,0.93,0,0,0,0,0,0,0
120,0,0,0,0,0,5.36,0,0,0,0,0
