stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,8991.84,179190.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10602.78,0,0,0,0,0,0,0,0
  5-6,4406.98,39297.52,0,54.91,0,0,0,0,0,0,0,55.81,0,0,0,0,0,0,0,0,0,766.91,55.33,0,0,129.7,0,1199.69,0,0,0,0,0,0,0,0
  7-9,126.02,21.61,0,30.24,0,0,54.38,0,0,0,0,161.09,0,0,0,0,0,0,0,0,0,903.37,64.64,0,0,349.62,0,0,97.7,0,0,0,0,0,0,0
 10-12,9.78,8.48,0,19.73,0,4.89,28.27,0,0,0,0,98.64,0,0,0,0,5.32,0,0,0,0,242.79,72.07,0,0,161.5,0,0,13.02,0,0,0,0,0,0,0
 14-21,0,0,0,6.08,8.01,8.07,0,0,0,3.64,1.09,0.86,10.81,0,0,0,578.25,16.54,0,0,4.66,22.11,8.22,0,0,0,0,0,1.12,1.72,2.96,14.04,0,1.24,0,0
 24-34,0,0,0.67,7.3,1.01,0,5.24,0,0,2.72,0,0,56.64,0.72,0,0,727.14,6.6,0,0,3.09,52.4,0.7,0,0,0,0,0,0,0,1.21,15.62,0,1.51,0,0
 36-46,0,0,0,0,1.28,0,8.45,1.62,0,2.31,0,0,170.6,0,0,0,383.86,4.77,0,0,2.29,37.45,0,0,0,0,0,1.9,0,0,0,8.17,0,1.33,0,0
 48-58,0,0,0,0,0,14.24,16.89,0,0,2.2,0,0,116.37,0,2.72,0,75.55,7.4,0,0,0,20.81,0,0.81,0,0,0,2.9,0,0,0,8.14,0,0,0,0
 60-70,0,0,0,0,0.57,0,38.87,0,0,0.81,0,0,265.17,0,1.2,0,79.22,45.36,0,0,0.9,39.59,0,1.26,0,0,1.22,0,0,0,0,11.02,0,0,0,11.52
 72-82,0,0,0,0,2.04,0,20.65,0,0,0.93,0.71,0,218.5,0,0,0,7.88,56.73,1.83,0,0,39.88,0,0,0,0,0,0,0,0,0,0.96,0,0,1.87,0
 84-94,0,0,0,0,0,12.14,6.12,0,0,0,0,0,205.48,0,8.42,0,0,59.48,0,1.77,0,4.5,0,0,0,0,0,0,0,0,0,2.22,0,4.34,0,0
 96-106,0,0,0,0,3.1,0,12.61,0,0,0,0,0,234.78,0,16.1,0,8.55,74.05,0,0,1.39,7.11,0,0,0.56,0,5.22,0,0,0,0,1.79,3.14,2.56,0,0
108-118,0,0,0,0,0,0,14.41,0,3.53,2.03,1.3,0,211.32,0,4.32,0.7,0,40.15,0,0,0,7,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,20.33,0,0,0,0,0,373.21,0,2.6,0,0,53.28,0,0,2.8,23.1,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
