stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,immune,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,30.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.08,0,6.71,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.28,0,0,0,0,0,0,0,0
 24-34,0,0.9,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0.67,0,0,0
 36-46,0,1.7,0,0,0,0,0,0,1.97,1.54,0,0,1.82,0,0,0,0,0,0
 48-58,0,0.38,0,0,0,0.51,0,0,3.59,0,0,0,0,0,0,0,0,0,0
 60-70,0,2.76,0,0,0,3.18,0,0,19.73,0.71,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.16,1.86,0,19.33,0.97,1.27,0,0,0,0,0,0,3.84,0
 84-94,0,0.56,0,0,2.92,0.57,0,0,31.34,0,0,0,0.79,0,0,0,0,0,0
 96-106,0,1.38,2.62,0,0,0,5.74,0.76,28.49,0,2.86,0,0,0,0,0,2.6,0,0
108-118,0,4.7,0,0.49,0.54,0,8.12,0,20.33,0.49,3.08,0,0,0,3.69,0,0,0,0.8
120,0,1.58,0,13.48,2.06,0,18.82,0,31.2,0,1.36,0,0,0,0,0,0,0,1.26
