stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.01,434.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.66,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.56,0,0,0,0,0,23.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8,0,0,0,41.98,0,0,7.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.98,0,19.59,0,0,21.99,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,380.07,29.71,0,0,133.72,0,0,6.56,0,6.86,0,5.88,0,0,0,0,0,0
 14-21,0,0,0,0,6.66,8.93,2.66,0,0,0,9.69,0,0,0.89,0,0,0,0,3.43,19.66,0,0,11.39,38.67,4.92,0,0,2.19,0,0.91,1.28,3.01,0,10.23,10.74,31.78,0,0,1.09,0,0
 24-34,0,0,0,0,1.36,91.36,6.09,0,0.9,0.69,1.59,0,0,5.26,0,0,0,0,0.6,30.42,1.84,0.81,27.23,161.28,6.05,0,1,0,0,0,0,0,0,0,2.41,53.1,0,0,27.2,0,5.18
 36-46,0,0,0,0,0.63,45.74,6.9,3.09,0,2.42,5.69,0,0,0,0.56,8.69,0,0,5.79,68.28,0,5.12,14.2,292.41,23.14,0,0,0,0,10.92,0,0,0,4.78,0,101.83,0,0,23.39,0,11.56
 48-58,0,0,0,0,0.44,38.02,18.73,0,0,0.82,12.85,0,2.74,1.07,5.32,5.4,0,0,1.02,51.44,4.78,8.6,9.97,425.32,5.67,1.98,0.4,0,0,1.69,0,0,0,2.73,0,71.89,0,0.84,21.11,0,5.07
 60-70,0,0,0,0,3.24,13.39,136.36,0.66,0,3.36,39.3,0,5.36,0,0,2.51,0,0,0,61.66,6.1,15.45,16.41,591.26,5.04,1.42,7.75,0,0.97,6.71,0,0,0,0,0,107.08,0,6.62,13.91,4.59,20.48
 72-82,0,0,0.5,0,3.48,19.05,211.51,0,5.36,2.14,56.15,7.24,1.87,1.42,0,2.65,0.79,8.77,0,68.31,4.44,24.46,7.55,601.58,2.25,0,10.64,0,1.42,0,0,0,0,0,0,74.87,0,17.37,14.77,6.29,5.5
 84-94,0,0,0,0,4.26,21.77,154.28,1.38,0,0,69.58,7.02,3.29,0.6,0.76,3.54,3.05,0,0,79.21,2.46,22.88,1.47,380.34,0,0,5.57,0,0,0.63,0,0,0,0,0,35.42,6.44,9.95,6.39,12.57,2.45
 96-106,0,0,0,0,3.27,24.22,228.61,0.73,0,2.65,79.17,10.66,0,2.86,0,1.42,2.11,0,0,84.52,7.14,13.57,3.21,349.74,0,0,11.5,0,9.61,7.53,0,0,0,0.72,0,39.82,0.87,5.3,24.81,13.97,12
108-118,0,0,0,0,10.25,16.18,169.22,0,0,6.94,84.56,15.9,0,0,1.02,12.14,4.86,1.74,0,67.35,3.08,25.08,6.67,311.6,5.31,0,2.53,0,3.6,0.43,0,0,0,1.03,0,10.77,0.42,1.71,24.66,2.64,3.04
120,0,0,0,0,17.06,30.22,176.16,8.21,15.78,0,131.02,23.35,0,0,4.43,15.61,3.86,0,0,86.67,4.3,15.46,4.42,863.62,8.4,0,6.54,0,21.9,0,0,0,0,0,0,31.15,1.99,2.71,23.29,4.11,2.33
