stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,35.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.63,0,0,0,0,0,0,0,0,0,16.11,0,0,0,0,0,0,0,0,0,116.76,0,0,0,30.21,0,0,0,0,0,0,0,0,0
 10-12,9.5,0,24.54,0,6.05,0,22.35,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,414.01,7.41,0,0,62.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.74,1.16,0,3.38,0,0,0,1.11,0,0,0,0.96,0,0,0,0,1.72,0,0,63.79,0.94,2.56,9.01,0.87,0,0,0.91,0.83,8.08,0,0,0,3.62
 24-34,0,0,1.94,5.91,0,0,9.07,0,0,0,0.92,1.75,0,0,0,0,0.86,3.58,0,5.14,0,0,55.56,1.42,3.62,11.17,0,0,6,0,0,7.9,0,0,2.74,0
 36-46,0,0.95,0,7.49,0,0,14.14,0,0,0,0.69,0.68,0,0,0,5.9,0,0,0,1.51,0,0,65.96,0,4.3,4.65,0,0,3.8,0,0,4.96,0,0,0.58,0
 48-58,0,0,1.43,5.05,0,0,17.01,0,0,0,0,4.8,0,0.42,0,0,0,2.27,0,4.03,0,0,21.2,1.41,6.6,2.93,0,0,0,0,0,3.6,0,0,0.84,0
 60-70,0,0,0,4.42,0,0,14.26,5.02,0,0.63,8.29,7.38,0,0.58,0,0,2.21,2.53,0.93,4.2,0,0,35.97,0,4.1,3.28,0,0,0,0,0,2.46,0,0,0,0
 72-82,0,1.96,3.31,0,0,0.57,31.96,0,1.28,0,1.17,5.36,0,5.31,0,0,0.68,0.77,0,10.68,0,0,42.1,0,16.36,3.03,0,0,0.49,0,0,2.28,0,0,0.81,0
 84-94,0,2.69,0,3.14,0.72,0,3.09,0,0,0,4.69,4.93,0,3.83,0,0,0,0.64,1.19,7.25,0.92,0,24.47,0,10.34,1.95,0,0,4.72,1.09,0,1.88,0.86,0,1.11,0
 96-106,0,3.05,0,1.21,1.14,0,46.19,0,0,0,0.59,6.84,0,6.67,0,0,0,0,0,0,0,1.11,8.5,1.13,15.1,2.42,0,0,0,0.67,0,0,0,0,0.69,0
108-118,0,0,0,4.5,0,0.62,49.96,0,1.74,0,1.67,3.97,0,11.16,1.39,0.43,1.42,0,0,4.32,0,0,35.08,0,6.35,4.67,0,3.72,0.44,0,0,0,0,1.42,1.46,0
120,0,3.73,0,1.69,0,0,11.12,0,0,0,3.88,2.89,0,10.26,0,0,0,3.71,0,8.69,0,0,54.87,0,1.26,2.55,0,0,0,0,0,0,0,0,0,0
