stage,axial,blastomeres,epidermis,eye,fin.epithelia,gut,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,0,54.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.71,0,0,0,0,0,0,44.34,0,0,13.55,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,46.63,0,0,14.9,0,9.99,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,1.22,88.11,0,0,0,0,0,0
 24-34,0,0,0.6,0,0,0,0,0,2.02,0,16.76,611.71,0,0,0,0,8.27,1.09
 36-46,0,0,0,0.65,0,0,0,0,0.76,0,11.02,727.44,0,0,0.96,0,0.82,0
 48-58,0,0,0,1.68,0,0,0,0,1.91,0,12.25,507.52,0,0,0,0,2.95,7.77
 60-70,0.81,0,0,0,0.87,0,0,0,1.64,0,2.84,230.25,0,0,0,0,0,0
 72-82,0,0,0,2.2,0,0,0,0,2.5,1.1,2.74,65.78,1.09,0,0,0,0,0
 84-94,0.62,0,0,0,0,0,0,0.73,5.57,0,0,123.85,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.05,4.67,0,0,23.02,0,0,4.19,0,0,3.34
108-118,0,0,0,6.4,0,0,0.43,11.91,5.49,0,0.5,12.48,0,0,0,0,0,3.49
120,0,0,0,0,0,5.64,0,3.33,0,0,9.29,13.14,0,0,0,0,0,0
