stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,90.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0,0,0
  5-6,0,65.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,48.26,0,0,0,0,0,0,0,0,0
  7-9,6.67,6.26,0,4.2,0,0,22.48,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,172.92,7.96,0,0,16.98,30.65,0,0,0,0,0,0,0,0,0
 10-12,0,16.1,0,5.95,0,0,18.7,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,172.68,0,0,0,48.65,11.37,0,10.11,0,0,0,0,0,0,0
 14-21,0,0,0,0,9.01,1.07,0,0,0.88,0,2.59,0,1.02,0,0,0,0.92,0,3.05,0,0,3.11,38.68,0.99,0,1.02,1.73,0,3.63,0,2.94,19.38,0,0,0,0,0
 24-34,0,0,0.97,0,2.09,0,4.97,0,0.78,0.76,2.41,0,0,0,0.67,0,0.86,0,6.93,0.61,0,0.77,101.15,0,0,0,0,0,0,1.06,0,38.66,0,0,0.98,0,0
 36-46,0,0,0.73,0,1.26,0,18.54,0,2.46,0,10.37,0,0,0,0,0,0,2.39,8.88,0,0,0.57,173.22,0,0,0,0,0,0,0,0,61.17,0,0,0.88,0,0
 48-58,0,0,0,0,0,0,20.93,0,0,0,13.41,0,0,0,0,0,0,0.56,12.04,0,0.6,1.55,150.65,0.61,0,0.59,0,0,0,0.38,0,35.62,0,0,0,0,5.51
 60-70,0,0,0,0,0,0,73.69,0,0,0,26.06,0,0,0.78,0.59,0,0,0,14.08,0,1.3,0,142.32,0,0,0.85,0,0,0,0,0,13.85,0,0,1.43,0,0
 72-82,0,0,1.32,0,0,0,58.15,0,0,0,20.22,0,0,0,0,0,0,0,15.13,0,0,1.14,152.26,0,0,1.24,0,0,0,0,0,14.68,0,0.56,0,0.71,0
 84-94,0,0,0,0,5.35,0,38.99,1.38,0,4.33,15.4,0,0,0,0,0,1.64,0.98,14.48,0,0,1.12,151.59,0,1.1,0.95,0,0,0,0,0,1.6,0,0,0,0.82,2.76
 96-106,0,0,0.99,0,2.77,0,75.83,0,0,2.16,30.73,0.86,0,0,2.78,0.82,0,0,17.35,0,2.11,0,88.51,0,0,0.9,0,0.79,0,0,0,0,0,0,2.74,0.72,0
108-118,0,0,0,0,1.4,0.48,10.69,0.5,0,0,19.09,3.37,0,0,3.16,1.52,1.58,0,12.78,0,0,0.48,78.86,0,0.46,0.74,0,0.84,0,0,0,1.68,0.83,0,1.91,0,0
120,0,0,3.73,0,0,0,30.53,0,0,0,12.07,0,0,5.1,1.25,0,1.28,0,2.31,0,0,1.62,110.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
