stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,lateral.line,liver,mesenchyme,neural,otic,paraxial.mesoderm,pronephros,spinal.cord
  3-4,36.68,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.94,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0
 24-34,0,0,2.48,0,0.68,0.62,0,0,0,8,0,0,10.85,0.93
 36-46,0,0,0.63,0,0.62,0.94,0,15.36,1.73,4.64,0,0,17.17,0
 48-58,0,0,0,0.45,2.09,0.48,0,0,1.04,2.74,0,0,2.38,0
 60-70,0,0,0,0,1.27,0,0,0,0,0.9,0,0,0.86,0
 72-82,0,0,1.66,0,0,0,1.05,0,0,0.88,0,0,0,0
 84-94,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,5.41,0,1.64,0,2.59,0,0.62,0,0,0
108-118,0,0,0,0,0.82,1.1,0.43,0,0,7.9,0,0,0,0
120,0,1.28,0,0,1.98,0,8.8,0,1.88,2.45,0,0,0,0
