stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,25.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0
 14-21,0,2.82,0,0,0,0,0,0,0,0,0,0.83,0,1.85,6,0,0,0,0,0,2.31,2.89,0,0,0
 24-34,0,0,0,0,2.05,0,1.06,0,0,0.86,0,1.8,0,0,10.98,0,0,0,0,0,0,1.8,0,0,0
 36-46,0,0,0,0,1.41,0,0.74,0,0,0,0,1.71,0,0,38.05,2.88,0,0,0,0,0,3.67,0,0,0
 48-58,0,0,0,0,1.07,0.82,3.93,0,0.59,0,0,2.09,0.65,0,24.13,0,0,0,0.45,0,0,1.96,0,0,0
 60-70,0,1.96,0,0,5.38,0,0.69,0,0,3.16,0,4.91,0,0.6,5.44,0,0,0,1.39,0,0,4.15,0,0,0
 72-82,0,0,0,0,2.46,0,1.12,0,0,4.54,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0.58,0
 84-94,0,0,0,0,0.92,0,0,0.86,0,4.64,0,1.41,0,0,7.57,0,0,0,0.58,0,0,9.06,0,0,0
 96-106,0,9.16,0,0,16.23,0,1.7,0,0,11.31,1.06,7.12,0,0,1.02,0,0,0,2.02,0,0,0,1.64,0,0
108-118,0,0.48,2.73,0,0,1.32,1.14,0,0,21.64,0,3.45,0,0,10.17,1.14,1.01,0,3.19,0.89,0,1.53,0,0.66,0.41
120,0,0,0,1.23,0,0,0,0,0,15.07,5.51,5.12,0,0,10.65,0,0,0,2.77,0,0,0,0,0,0
