stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,16.36,185.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,321.26,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.97,0,0,117.08,0,0,0,0,0,0,0,0,0,683.42,12.06,0,0,28.11,8.38,0,0,0,0,0
 10-12,0,21.95,0,0,70.54,0,0,0,0,0,0,0,0,0,641.69,0,0,0,32.4,6.84,5.9,0,3.87,0,0
 14-21,0,0,0,0.9,7.13,0,0,2.22,0,0,0,0.82,0,0,155.04,0,0,0,0,0.91,0,0,3.93,33.73,0
 24-34,0,0,0.6,0,19.23,0,0,9.22,0,1.37,0,0.93,0,0,242.23,0,1.23,0.75,0,0,0,0,0,41.7,1.12
 36-46,0,0,0,0,74.49,0,0,67.6,0,0,0,3,0,0.8,545.88,0,0,0,0,0,0,0,0,56.66,1.33
 48-58,0,0,0,3.88,182.64,0,0,143.42,0,0.49,0,5.19,0,0.42,387.41,0,0,0,0,0,0,0,0,48.74,0
 60-70,0,0,0,0,250.64,0,0,419.32,0,0.92,0,1.54,0.95,1.78,228.44,0,0,0,0,0,0,0,0,63.96,0
 72-82,0,0,0,0,119.72,0,0.68,172.82,0,1.27,0,1.4,0,0.57,101.55,0,0,0,0,0,0,0,0,17.12,0
 84-94,0,0,0,0.78,182.77,0,0,119.69,0.67,2.55,0,9.03,0,0,119.83,0,0,0,0,1.33,2.06,0,0,14.17,0
 96-106,0,0,0,3.83,226.83,0,0,132.05,0,0,0.69,9.01,0,0,97.86,0,0,0,0,1.55,0,7.42,0,1.3,0
108-118,0,0,0,1.51,372,0.7,0,147.3,0,3.48,0,1.33,4.52,2.69,87.46,0,2.38,1.01,0,0,0,0,0,1.92,0
120,0,0,0,3.94,169.73,0,0,199.77,0,4.44,0,1.07,0,0,88.37,6.07,1.09,5.76,0,0,0,0,0,0,0
