stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,312.25,6030.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.1,0,0,0,0,0,0
  5-6,266.82,4121.03,0,21.42,0,0,0,0,11.49,0,0,0,0,143.62,0,0,23.5,129.43,0,0,0,0,0,0
  7-9,35.52,13.59,0,37.48,0,16.32,0,0,14.72,0,0,0,0,426.5,0,0,133.71,0,22.78,0,0,0,0,0
 10-12,0,0,0,0,0,5.38,0,0,3.42,0,0,0,0,47.13,0,0,0,0,17.5,0,0,0,0,0
 14-21,0,0,0,0,3.25,3.82,1.04,0,0,0,0,1.23,1.94,4.34,0,0.92,0,0,1.77,1.15,0,1,5.34,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0.92,0,0,0,0,0,0,2.29,1.02,1.94
 36-46,0,0,0,0,0.9,3.45,1.2,0,0,0.57,0,0.67,0,19.29,0.64,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,7.32,0,0,0,0,0,1.18,0.83,8.28,0,0,0,0,0,0,0,0,3.18,0
 60-70,0,0,0,0,0,2.21,0,0,0,0,0,0.91,0,26.35,0,0,0,3.63,0,0,0,0,2.71,0
 72-82,0,0,0.68,0,0,19.6,1.06,0,0,0,0,1.11,0,14.51,0,0,0,0,0,0,0,0,2.46,0
 84-94,0,0,0,0,0,0.93,0,0,0,0,0,2.87,0,5.78,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.86,0,0,0.8,3.67,0,7.46,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.74,0.78,1.76,0.6,4.52,0,0,0,0,0,20.97,0,0,0,0,0,0,0.54,0,2.22,0
120,0,0,0,0,0,0,0,5.8,0,0,0,0,0,19.25,0,0,0,2.96,2.3,0,0,0,0,0
