stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,59.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,96.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,8.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.91,9.66,0,46.04,0,0,0,5.19,0,0,0,0,0,71.79,0,0,0,0,0,0,0,0,0,0,65.57,8.86,0,0,16.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.05,0,0,0,0,0,0,0,0,0,19.75,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,12.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.86,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.66,0,7.12,0,0,41.98,0,0,0,24.54,0,0,0,3.83,0,0,1.86,2.54,4.64,0,0,6.14,6965.13,1.49,3.38,0.8,0,5.37,2.27,1.41,0.66,665.26,0,11.3,1.72
 36-46,0,0,0,0,38.63,0.63,0,351.42,5.05,3.38,4.16,770.51,0.59,0,1.47,8.57,0.59,0,0.61,41.56,95.02,1.23,0,23.25,32703.97,11.93,23.49,10.79,0,91.32,6.61,4,1.09,8593.72,0.85,17.56,34.31
 48-58,0,0,0,0,20.71,2.06,0,627.59,4.35,18.5,9.09,802.31,0,0,4.14,6.93,0.92,0.45,3.19,0,71.16,0.71,2.71,17.2,8999.59,7.79,4,3.35,0,26.93,3.39,0,0,9468.24,0,16.22,26.25
 60-70,0,0,0,0,4.04,0,0,213.41,0,1.18,0,108.99,0,0,0,0,0,0,0,0,22.97,0,10.43,1.76,737.33,5.95,0,2.47,0,7.06,0,0,0,898.79,0,0,23.96
 72-82,0,0,0,0,0,0,0,41.12,2.62,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0,52.37,0,0,0,0,1.66,0,0,0,93.49,0,0,0
 84-94,0,0,0,0,0.59,0,0,38.21,0,0,0,21.57,2.47,0,0,0,0,0,0,0,13.51,0,0,0,46.46,3.47,0,0.58,0,1.11,0.56,0,0,73.39,0,0,0
 96-106,0,0,1.41,0,0.6,0,0,5.55,0.9,0,0,18.54,0,0,0,0,0,0,0,0,0,0,0,0,36.37,0,0,0.67,0,0,0,0,0,6.18,0,0,1.24
108-118,0,0,0,0,0,0,0.82,4.59,0,0,0,29.99,0,0,0,0,0,0,0,0,0,0,0,0,45.67,0,0,0,0,0,0,0.66,0,0,0,0,0
120,0,0,0,0,0,0,0,6.6,0,0,0,30.74,0,0,0,0,0,0,0,0,0,0,0,0,52.8,0,0,0,0,0,0,0,0,18.61,0,0,0
