stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,49.44,76.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.89,490.95,0,0,0,0,0,0,0,0,0,0,0,0,0,21.95,0,0,0,0,0,0,0,0,0
  7-9,27.08,53.93,0,8.69,0,0,87.76,0,0,58.98,0,0,0,0,0,606.12,88.44,0,0,215.62,0,0,0,0,0
 10-12,0,24.85,0,63.55,0,0,41.2,0,0,0,0,0,0,0,0,590.27,16.36,0,0,208.4,0,49.06,3.87,0,0
 14-21,0,0,0,0,7.06,0.84,1.08,2.56,0,0,1.77,0,0,0.86,8.58,31.14,0,0,2.36,3.07,6.14,1.07,8.63,16.2,0
 24-34,0,0,1.14,0.76,1.22,0,0,0.69,0,0,0,0,0,3.32,0.83,11.5,0,8.02,0,0,0,0.73,0.63,4.77,2.19
 36-46,0,0,0,0,0,0,0.81,1.02,0,0,0,0,0,6.8,0,2,0,3.17,0,0,0,0,0,0.85,0
 48-58,0,0,0,0,0,0,3.33,1.22,0,0,0,0,0.55,0,2.1,2.97,0,16.65,0,0,0,0,0,1.01,0
 60-70,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,1.09
 72-82,0,0,1.14,0,0,0,3.82,1.8,0.49,0,0,0.88,0,0.78,0.87,7.13,0,0.75,0,0,0,0,0,0,0
 84-94,0,0,1.85,0,0,0,1.77,0,1.85,0,0,0.61,0,0,0,10.88,0,2.66,0,0,0,0.7,0,0,0
 96-106,0,0,1.57,0,0,0,0,0,0.6,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0
108-118,0,0,0.8,0,0.91,0,0,0,0.65,0,2.29,0.52,0,5.26,0,1.69,0,0.59,0,0,0,0.47,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03,0,0,0
