stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,46.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,0,0,0,7.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.71,0,0,0,0,0,0,25.49,3.92,0,0,0,0,0,9.7,0,0,0,0,0
 14-21,0,1.03,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,1.41,0,1.89,11.64,5.13,0,0
 24-34,0,0,0,8.37,0,0,0,0,0.9,0,0,0,0,0,1.09,0,36.26,0,17.68,0.78,0,1.37,0,0,0,0.64,6.65,0,1.97
 36-46,0,0,0,15.9,0,0,0,1.9,0,0,0,0,0,0.87,0,1.07,33.67,0,2.45,0,0,0,0,0,0,0,21.81,0,1.01
 48-58,0,0.42,0,14.38,6,5.82,0,7.22,2.39,0,0,0,0,1.81,1.4,0,51.01,0,0,0,0,0,0,0,0,0,9.4,0,0
 60-70,0,2.01,0,40.43,0,0,1.49,0,0,0,0,0,0.73,0,0,0.81,49.2,0,0,0,0,0,0,0,0,0,1.59,0,0
 72-82,0,1.51,0.83,13.39,0,0,0,0.78,0,0,1.5,0,0,0.56,0,0,19.33,0,0.74,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.62,11.91,25.04,0,0,0,0,0,0,0,0.71,0,2.19,0,0.78,25.86,0,1.54,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,8.13,0,0,0,0,0,0,0,0,0,2.68,0,0,14.06,0,11.25,0,0,0,0,0,0,0,5.04,0,0
108-118,0,0,0,13.31,0,0,0,1.13,0,0,0,0,0,8.4,0,0.7,19.71,0,4.43,0,0,0.47,0,0,0,0,0,0.48,0
120,0,0,0,2.46,0,0,0,0,0,0,2.71,0,0,0,0,0,27.11,0,4.59,0,0,0,0,0,0,0,0,0,0
