stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  5-6,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0,0,41.59,0,0,8.16,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.02,0,0,0,0,8.66,0,0
 14-21,0,0,1.05,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0.94,0.94,1.73,0
 24-34,0,0,0,0,1.01,0.67,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,0,0,1.36,0
 36-46,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0.74,1.02,12.51,0,0,0,0,0,3.22,0
 48-58,0,0,0,0,2.73,1.79,0,0,0,0,0,0,0,1.18,0,0.48,12.23,0,0,0,0,0,1.06,0
 60-70,0,0,0,0,4.54,0,0,0,0,0,13.88,0.56,0,0,0,0,12.22,0,0,0,0,0,2.69,3.22
 72-82,0,0.87,0.95,0,13.6,0,0,0.92,0,0,0,0,0,4.87,0,0,17.4,0,0,0,0,0,0,0
 84-94,0,0,0,0,9.24,0,1.1,0,0,0,0,0,0,0,0,0.82,8.96,0,0.65,0,0,0,0,0
 96-106,0,0,0,0,5.35,0,0,0,0.73,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0
108-118,0,0,0,0,9.51,0,0,0,0,0,0,0,0,3.48,0,0,6.86,0,0,0,0,0,0,0
120,0,0,0,0,5.82,0,0,0,0,0,0,0,3.86,0,0,0,32.83,0,0,0,0,0,6.95,0
