stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0
  5-6,43.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.77,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.75,0,0,0,0,0,3.03,5.68,0,4.89,0,0,0,0,0
 14-21,0,0,19.61,87.06,0,0,0,1.08,1.19,4.22,2.35,0,0,0,0,3.08,0,1.26,9.34,17.29,0,0,0,0,0,0,0,0,3.58,0,0,131.15,0
 24-34,0,0.73,0.76,14.28,4.4,0,0.83,1.05,0,15.47,4.44,0,0,5.19,0,3.59,0,1.7,24.55,0,0,0,0,0,0,0,11.07,0,10.31,0,0,429.56,0
 36-46,0,0,0.66,0,2.11,0,0.59,3.51,0,10.35,14.14,0,0.68,0,0,3.91,0,2.05,47.8,0.7,1.58,0,0,1.4,0,0,0,0,0.61,0,0,216.69,0
 48-58,0,0,0,0,1.86,0,1.1,6.92,0,12.19,6.47,0,0,0,0.54,11.3,0,2.72,29.1,0,0,0,0,0,0,0,0,0,4.61,0,0.89,185.41,0
 60-70,0,0,0.62,0,3.67,0,2.28,11.23,0,4.83,9.04,0,0,0,0,19.02,0,0.96,7.92,0,0,0,0,0,0,0,0,0,5.89,0,0,125.66,0
 72-82,0,0,0,2.52,16.73,0,1.26,31.18,0,26.03,11.21,0.76,0,0,0,45.66,2.37,1.53,26.07,0,0,0,7.16,0,0,0,0,0,1.96,0,7.92,322.71,3.89
 84-94,0,0,0.66,0,11.43,3.76,2.66,10.45,2.03,27.93,34.79,0,0,0,2.06,68.22,0.55,0.68,20.12,0,0,0,0,0,0,0,0,0,7.99,1.46,3.02,261.45,2.46
 96-106,0,0,3.86,5.55,20.95,1.35,0,36.9,0.63,26.17,7.3,0,0,7.43,3.66,54.08,4.46,3.71,53.27,0.57,2.04,1.87,1.6,0,0,1.63,0,0,0,0,0.92,303.71,2.26
108-118,0,0,1.02,2.96,15.51,0.98,2.76,25.02,0,12.9,15.07,5.4,0,1.21,0.54,58.3,7.95,1.69,45.24,0,0.88,0.94,3.32,1,0,3.34,0,0,1.62,0.58,0,321.58,4.14
120,0,0,0,0,0,0,0,19.61,0,9.08,17.49,8.39,0,0,0,103.42,0,0,63.57,0,0,0,0,1.14,0,0,0,0,6.18,0,7.08,316.14,0
