stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49,8.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,20.1,0,0,0,0,0,0,20.14,0,0,0
 24-34,0,0,1.44,0,0,0.94,0,0,0,0,0,0,0,0,128.75,0,0,0,0,0,0.67,49.34,0,0,0
 36-46,0,0,1.5,0,0,0,0,0,0,0,0,2.65,0,0,191.38,0,5.06,0,0,0,0,31.35,0,0,0
 48-58,0,0,13.38,0,0,0.77,0,0,0,0,0,2.02,1.04,0.76,207.48,0,0,0,0,0,0,31.47,0,0,0
 60-70,0,0,54.44,0,1.62,6.83,0,0.7,0,2.2,0,3.04,0.62,1.75,534.83,0,1.61,0.59,0,0,0,38.09,2.4,0,0
 72-82,0.65,0,94.17,0,0,2.03,0,0,0,0,0,10.64,6.87,0,556.61,0,1.4,0,0,0,0,21.84,2.36,0.95,0
 84-94,5.87,0,88.64,0,0,5.28,3.93,0,0,0,6.72,19.27,3.47,0.7,345.24,2.32,4.18,0,0,2.22,0,18.48,2.61,0,0
 96-106,0,2.12,100.28,0.76,0,5.2,0,0.77,0,0,0,11.67,8.91,0,295.77,0,1.96,0,0,3.49,0,4,0,0,0.81
108-118,0.78,0,99.03,0,0,5.89,0,0,1.01,0,0.99,12.96,5.24,0,328.18,0,1.09,0,0,0,0,11.2,0.6,1.61,0
120,27.99,0,38.98,0,0,5.6,1.55,0,0,0,0,30.69,7.06,5.39,444.22,0,0,0,0,0,0,1.95,0,0,0
