stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,69.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,12.54,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.09,3.59,0,0,19.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.42,0,0,0,15.04,0,0,7.91,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.92,33.83,2.55,5.81,0,0,6.24,1.03,0,0,0,0,0,0,0,0,12.25,0,0,7.29,236.33,9.15,0,2.67,4.32,3.82,25.24,0.85,0,17.25,69.12,0,0,3.5,0,0
 24-34,0,0,0,0,3.73,0,29.65,0,0,5.92,0,0.74,0,6.57,1.48,0,0.68,0,0.8,27.01,0,0,8.16,350.33,0,0,2.19,0,5.09,0,1.45,0,2.04,60.79,0,0,0.69,0,0.63
 36-46,0,0,0,0,0,0,23.79,0,1.13,17.31,0,0,0.75,0,0,0,0,0,0,22.71,0,0,2.91,257.71,0,3.09,0.72,0,11.23,0,0,0,0,58.43,0,0,0.56,0,0
 48-58,0,0,0,0,12.96,0.69,43.32,2.21,0,24.23,0,0,0,7.07,2.75,0,0.92,0,0,22.03,0,0.77,4.41,112.06,0,0,0.9,0,1.2,0,0,0,0,34.16,0,0,0.43,0,3.15
 60-70,0,0,0,0,1.44,0,81.68,0,3.21,22.94,0,0,0,0,0,0,0,0,0,39.12,0,6.73,2.22,97.22,0,0,0,0,1.64,0,0,0,0,18.7,0,0,0.72,0,0
 72-82,0,0,0,0,1.93,0,25.85,0,0,22.58,0,0,0.7,0.63,0,0,0,0,0,19.46,0,0.89,5.73,63.05,0,1.03,3.21,0,6.68,0,0,0,0,10.52,0,0,8.55,0.54,2.86
 84-94,0,0,0,0,0.99,0,22.39,0.63,3.55,10.49,4.05,0,0,0.61,0,0,1.58,0.57,0,19.92,0,1,2.65,31.5,0,2.07,2.65,0,3.83,0,0.67,0,0,4.15,0,0.64,0.58,0,0
 96-106,0,0,2.92,0,3.59,0,16.99,0,1.41,18.22,1.45,0,0,1.8,0.81,1.48,0,0.7,0,14.97,0,0,1.03,31.84,0,2.4,6.6,0,4.36,0,0,1.26,0,4.21,2.4,0,0,0,0
108-118,0,0,0,0,3.66,0,30.71,1.34,0,3.83,0.48,0,0,0,0,0,0,0,0,7.81,2.49,3.67,4.98,48.05,0.5,0.57,0.89,0,6.31,0,0.72,0,0,0,0,0,5.76,0,0
120,0,0,0,0,5.67,1.87,22.59,1.04,4.41,11.7,1.51,0,0,5.05,0,0,0,0,0,23.55,2.21,0,0,119.02,0,0,10.71,0,7.63,0,0,0,0,0,0,0,0,0,0
