stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,86.79,1350.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.59,0,0,0,0,0,0,0,0,0,0
  5-6,249.26,3825.79,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,114.07,10.72,0,0,31.5,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,104.97,146.84,0,85.94,0,0,0,442.86,0,0,0,0,0,118.61,0,0,0,0,0,0,0,0,0,0,0,4009.99,66.29,0,0,656.57,0,0,15.8,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,0,21.81,0,0,0,56.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.89,20.9,0,0,102.69,0,0,9.03,0,26.86,0,0,0,0,0,0,0
 14-21,0,0,1.05,4.41,25.36,13.18,0,8.92,0,0,0,8.35,2.2,0,4.18,0,0,0,0,0,0,13.41,0,0,7,367.75,9.21,0,0,0,0,0,0,16.82,0.82,6.29,92.5,0,0,22.15,0,0
 24-34,0,0,3.97,0,13.86,4.5,0,23.2,0,1.99,0,34.17,0,0,13.81,0,0,0,0,0.84,0,65.71,0,0,25.96,1010.92,3.63,1.59,0.82,0,0,13.53,0,0,1.63,0.61,208.31,0,0,169.94,0,5.56
 36-46,0,0,2.44,0,8.36,0,0,61.54,0,3.83,1.92,129.59,0,0,4.65,0,0,0,0,0,5.64,93.59,0,4.12,16.67,968.38,0,2.32,0,0,0,1.66,0,0,0.72,0,281.36,0,0,131.43,0,11.91
 48-58,0,0,0.97,0,14.56,0,0,99.6,0,0,3.36,206.79,0,0,5.89,0,0,2.8,0.74,0,38.57,105.51,0,8.34,13.19,521.49,0,0.48,0,0,0,2.32,0,0,0,0,267.42,0,0.91,104.46,0,19.65
 60-70,0,0,1.32,0,9.65,0,0,232.41,0,0,0.86,259.98,3.62,0,4.72,6.49,0,2.57,0,0,14.9,101.37,0,6.18,3.11,409.31,0,1.44,0,0,0,8.45,0,0,1.06,0,217.51,0,2.57,85.85,0,24.32
 72-82,0,0,1.22,0,9.04,4.98,0,277.47,0,3.32,6.22,248.78,5.22,0,6.89,0.6,0,4.74,0,5.18,16.23,110.71,0.56,11.44,9.37,325.75,0,5.76,2.52,0,1.48,6.78,0,0,0,0,233.69,0.87,0.87,232.41,5.65,23.27
 84-94,0,0,10.28,0,5.4,3.27,0,190.71,0,5.55,7.04,243.33,0.68,0,3.77,0.68,0,5.64,0,1.22,32.24,121.91,0,9.16,8.33,223.25,0,0,0,0,0.77,11.39,0,0,0.92,0,222.57,2,1.83,157.16,4.91,27.49
 96-106,0,0,2.79,0,11.56,6.28,1.12,170.16,0,7.42,3.31,241.2,0.61,0,16.72,2.98,0.92,4.95,0,5.88,6.94,78.26,0,8.87,4.58,185.23,0,5.71,2.46,0,0,7.7,0,0,0.61,0,400.55,2.7,1.97,239.92,5.36,2.57
108-118,0,0,1.9,0,16.24,0.59,0,198.35,0.59,11.49,4.16,170.28,2.53,0,13.67,0,0.72,3.72,0,2.2,35.97,136.01,0,12.77,4.47,247.4,0,2.27,0,0,0,2.71,0,0,1.08,0,197.14,0,0,185.46,12.25,18.54
120,0,0,5.04,0,3.81,14.48,0,141.52,0,1.56,11.92,341.51,0,0,7.69,8.62,1.32,0,0,3.23,12.05,84.48,0,0,3.45,415.63,0,0,0,0,19.18,1.14,0,0,0,0,169.09,0,2.68,222.63,4.47,3.58
