stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,48.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.92,0,0,0,0,0
  5-6,58.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.95,24.06,0,0,0,0,0,0,0,0,69.22,0,0,0,11.37,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,46.77,0,0,0,9.4,0,0,0,0,0,0
 14-21,0,0.91,14.17,0,0.88,0,0,0,0,0,0,0,1,0.88,0,2.56,2.3,0,0.85,1.02,0
 24-34,0,0,9.13,0,1.99,0,0,0,0.63,1.28,6.1,1.75,1.24,1.39,0,0.71,0,0,0,2.05,0.82
 36-46,0,0,3.65,3.55,1.18,0,1.56,1.09,0,1.59,27.59,0,0,0.72,0,0,0,0.78,0,1.05,0
 48-58,0,0,0,5.78,3.33,0,0,0,0,0,7.37,0,0.5,0,0,0.48,0,0,0,5.08,0
 60-70,0,0,1.56,0.89,1.57,0,0,0,0,0,1.02,0,0,0,0,0.57,0,0,0,0,0
 72-82,0,0,0,0,2.88,0,2.09,0,0,0.52,4.09,0,0,0,0,0,0,0,0,1.28,0
 84-94,0,0,0,1.23,0.55,0,0.69,0,0,5.12,0,0,1.5,0,0,4.68,0,0,0,0,0
 96-106,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0
108-118,0,0,0.53,0,1.61,1.36,0.97,0,0,2.97,3.07,0,5.69,0,0,8.42,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0
