stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.18,1171.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
  5-6,100.2,2613.83,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,63.88,38.09,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,40.94,63.18,0,64.13,0,0,151.73,0,0,0,0,23.19,0,0,0,0,0,0,0,0,0,0,0,1364.44,77.36,0,0,448.2,0,0,6.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.78,0,75.17,0,6.22,83.68,0,0,0,0,24.91,0,0,0,0,0,0,0,0,0,0,0,1194.6,43.78,0,0,364.27,0,0,6.03,0,28.78,0,0,3.28,0,0,0,0,0
 14-21,0,1.44,0,1.03,77.48,4.28,17.32,0,0,4.66,1.8,0,0.89,0,0,0,0,0,0,19.16,0,0,23.83,309.83,8.75,1.02,2.42,14.02,0,3.83,0,39.72,2.91,1.46,23.74,90.89,0,0,0,0,0
 24-34,0,0,0.75,0.68,13.12,0,25.1,0,0,2.57,1.44,0,0.76,0,0,0.85,1.32,0.65,3.78,19.96,0,0,8.69,314.97,0,1.36,1.05,0,0,11.09,0,0,0.88,0,0.62,60.64,0,0,0.98,0,0
 36-46,0,0,0,0,3.62,0,33.65,0,0,5.35,0,0,1.06,0,0,0,0,0.57,0,12.78,0,0,1.42,191.1,0,1.47,2.88,0,0,15.4,0,0,0,0,0,25.38,0,0,0.62,0,0
 48-58,0,0,0,0,1.47,0,56.32,0,0.87,17.59,0,0,0,0,0.49,0.43,0.65,0,0.4,22.95,0.41,0,4.04,143.71,0,1.78,0.38,0,0,0,0,0,0.43,0,0,25.7,0,0,6.36,0,0
 60-70,0,0,0,0,1.93,0,89.2,0,0.98,9.05,0,0,0.9,0,0.61,0,0,0,0,30.03,0,0.93,2.84,155.12,0,1.19,0.69,0,0,3.95,0,0,2.06,0,0,26.88,0,0,1.84,0.81,0
 72-82,0,0,0,0,2.65,0,80.12,0,1.4,20.61,1.39,0,0,0.8,0,0,0,0,0,60.89,0,2.92,2.2,144.81,0,1.18,1.58,0,0,2.61,1.65,0,0,0,0,13.51,0,0.66,3.08,0.91,1.16
 84-94,0,0,2.32,0,6.56,1.7,34.35,0,0.7,9.36,2.08,0,0,0,0.55,0.79,1.23,0,0,44.24,0,0,5.85,75.71,0,7.75,2.56,0,0,17.35,0,0,0,0,0,4.75,0.55,0,9.44,0,0.61
 96-106,0,0,0,0,4.27,0,39.18,0,2.01,10.12,1.05,0,1.03,0.9,0,0,0,1.54,0,30.53,5.16,0,9.03,83.24,2.18,2.85,1.2,0,0,3.88,0,0,0.82,0,0,4.57,0,0.67,5.56,2.25,0
108-118,0,0,1.62,0,8.66,0,13.3,0.44,0.6,13.5,0,0,0,1.57,1.49,1.11,0,0,0,39.87,0,5.62,2.5,119.8,0,0,1.01,0,0.87,7.44,0,0,1.91,0,0,12.7,1.24,0,2.84,0,0
120,0,0,0,0,1.06,0,33.28,2.44,0,11.61,0,0,0,0,5.59,0,0,0,0,17.77,0,0,0,150.4,0,0,1.1,0,0,1.11,0,0,0,0,0,4.82,0,0,0,0,7.88
