stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,hatching_gland,immune,lateral_line,liver,mesenchyme,neural,pericytes,periderm,slow_muscle,spinal_cord
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66,0
 48-58,0,0,0,0,0,0.48,0,0,0,0,1.47,0,0,0,0.92
 60-70,0,0.6,5.64,3.39,0,0,0.98,0,0,0.75,0,0,0,1.39,0
 72-82,0,0,9.01,0,0,0,0,0,0,4.86,0,0,0,0,0
 84-94,0,0,1.38,1.03,0,3.23,0,0,0,0.62,4.78,0,3.83,1.42,0
 96-106,0,0,3.97,0,0,0,0,0,0,1.46,0,0,2.36,0,0
108-118,0,1.82,5.15,0.64,0,0,0,0,0.61,5.4,2.41,2.92,0,2.79,0
120,1.68,0,0,2.98,2.16,0,0,5.57,0,14.97,0,0,1.04,1.21,0
