stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,1.92,0,0,0,0,0,0,0,0.89,0,2.09,2.92,0,0,0,4.13,0,5.66,2,0,0
 24-34,6.52,0,0,1.29,1.24,0,7.97,0,1.44,0,0,5.89,0,3.63,0,0,0.65,0.69,3.98,0,0
 36-46,0,0,2.44,0,0,0,0.77,0,0,0,0,13.68,0.56,1.46,0.9,0,0,0,3.75,0,1.98
 48-58,0,0,3.18,0,0,0.47,1.67,0,1.07,0,0,33.82,0,22.06,0,0,0,0,2.13,0,0
 60-70,0,0,5.77,0,0,0.62,14.42,0,5.55,5.67,0,10.92,0,35.47,0,0,0,0,0,0.84,0.93
 72-82,0,0,2.6,0,0,3.5,1.78,0,3.58,0,0,34.58,0,21.93,1.41,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.26,3.23,0.83,0.99,0,0.55,7.76,0,19.94,0,0,0,0,0,0,3.87
 96-106,2.78,0,6.58,0,0,0,5.38,0,0,0,0,25.37,0,30.64,2.07,0,0,0,0,0,0
108-118,0,6.58,0.51,0,1.75,0,2.31,0,8.38,0,0,18.3,0,37.48,0.5,0,0,0,0,0,0.94
120,0,0,3.21,0,0,12.43,9.61,0,5.26,0,0,57.1,0,72.13,0,0,0,0,0,0,0
