stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.1,0,8.9,0,0,0,0,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,67.61,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.48,0,68.79,0,9.23,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.68,0,0,0,31.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.42,158.56,1026.19,18.79,0,146.18,0,0,0,2.51,10.35,5.61,74.11,0,8.5,3.21,0,2.17,100.71,653.62,0,0,219.89,647.55,0,0,38.17,1.69,0,0,0.91,38.52,5.41,0,16.52,42.51,0,0,1.84,0,137.78
 24-34,0,4.2,29.15,33.57,10.1,0,290.97,0,2.1,0,50.22,1.77,0,49.87,1.36,0,17.78,0,11.07,315.88,260.06,0,3.29,85.92,1542.23,0,15.16,121.43,0,14.27,1.42,0,0.85,2.57,0.65,1.38,101.6,0,0,21.75,0,367.61
 36-46,0,3.23,0,17.33,0,0,428.59,0,1.17,0,181.68,0.82,0,23.42,0,3.34,30.56,0.95,1.56,400.31,272.83,0,36,20.78,2008.4,0,8.69,105.5,0,6.63,10.48,0,0,1.79,0,0,194.57,0,0,12.54,0,368.79
 48-58,0,4.47,0.43,22.15,1.93,0,1653.23,0,0,0.85,290.29,0,0,15.9,0.37,10.53,49.87,3.05,0,331,242.76,1.76,76.25,36.23,2638.89,2.54,8.98,68.14,0,26.59,1.96,0,0,0.93,0,0,257.61,0,1.7,17.44,0.48,414.88
 60-70,0,2.79,0,30.49,0,0,5296.59,0,0.61,0,329.53,0,0,10.38,4.01,21.65,96.03,1.16,1.7,164.69,362.17,0,32.26,67.22,4000.5,0,5.77,61.31,0,35.29,5.87,0,0,2.41,3.27,0,254.86,0.61,13.14,6.18,0,456.27
 72-82,0,2.98,0,66.17,0,0.52,5050.01,0.76,2.51,0,280.34,8.35,0,3.36,0.59,40.19,77.63,0.76,1.68,130.98,438,0,97.57,108.05,3958.63,0.57,5.67,114.47,0,36.48,0.69,0,0,0,5.47,0,212.89,0,19.39,16.71,16.41,266.3
 84-94,0,6.72,0,45.88,6.51,0,3179.02,0,0,1.41,238.94,9.4,0,6.06,1.56,54.75,80.41,3.61,0,309.06,373.62,7.01,94.45,57.39,2537.92,0,4.95,106.19,0,13.81,9.54,0,0,0,6.11,0,178.81,0,19.52,18.96,18.9,204.65
 96-106,0,0.63,0,57.06,6.7,0,2506.6,0,4.06,5.91,266.46,4.57,0,5.78,5.5,106.92,112.88,4.25,11.14,152.12,287.02,5.61,104.9,28.94,2203.9,2.06,6.78,109.32,0,31.83,13.22,0,0,0,0,0,91.41,5.57,13.83,9.16,5.05,181.4
108-118,0,3.54,0.49,36.85,5.29,9.58,2206.26,0.56,0.53,3.39,272.97,4.69,0,3.18,2.74,74.3,159.29,3.25,2.62,265.78,276.33,0,117.69,52.19,2837.24,1.51,2.09,135.25,0,78.32,12.27,0,0,0,0,0,65.32,1.2,7.22,5.72,8.65,306.54
120,0,2.96,0,65.51,0,18.81,1428.95,0,4.39,0,420.32,26.47,0,2.09,16.05,40.97,89.83,0,3.79,114.44,283.49,5.34,148.08,48.41,4611.52,0,0,92.52,0,44.55,22.51,4.99,0,0,0,0,46.48,0,7.33,0,18.57,108.08
