stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,9.74,236.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0
  5-6,17.21,73.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,32.57,174.86,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.44,1.17,0,0.83,0,0,2.36,0,1.41,0,7.98,0.89,19,3452.82,1,0,2.05,0,5.31,1.37,1.34,2.46,0,0,0
 24-34,0,0,0,0,0.82,0,0,4.47,0,0,0,0,0,0,7.89,0,30.66,246.77,0.75,1,4.67,0,0,1,2.87,9.49,0,0.64,7.73
 36-46,0,0,0,0,0,0,0,1.51,0,0,0.73,0,0,0,2.64,0,12.41,80.03,0,7.59,0,0.78,0,0,0,0.8,0,3.09,1.26
 48-58,0,0,0,0,0,0,0,3.42,4.09,0,0,0,0,0,0,0,33.24,20.1,0,3.59,0,0,0,0,0,2.46,0,0,0
 60-70,0,0,0,0,0,0,0,7.73,0.69,0,1.91,0,0,0,0,0,14.69,49.97,0,0,0,0,0,1.95,0,3.41,0,0,0
 72-82,0,0,0.68,0,0.68,0,0,16.72,0,0,1.29,0,0,0,4.04,0,12.02,0,1.49,6.37,0,0,0,0,0,4.71,0.56,0,0
 84-94,0,0,0,0,0,0,0,7.44,0,1.23,2.33,0.71,0,0,0,0,8.01,0,0,2.7,0.67,0,0,4.01,0,2.17,0,0,0
 96-106,0,0,0,0,0,0,0,11.95,0,0,0.76,2.79,0,3.15,4.6,0,28.23,11.73,0,6.29,0,0,0,0,0,0,0,0,0
108-118,0,0,0.62,0.47,2.06,0,0.55,26.25,0.48,0,1.17,0,0,0,0,0,23.75,29.59,0,3.65,0,0,0,1.11,0,0,0,0,0
120,2.82,0,0,0,3.9,0,0,28.6,3,0,7.05,0,0,0,0,0,16.79,4.12,0,4.01,0,0,0,0,0,0,2.83,0,0
