stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,gut,mesenchyme,mural.cell,muscle,neural,olfactory,somites,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.08,0,8.15,0,0
 14-21,0,0,0,0,0,0,0.88,0,0,6.97,0,0.81,4.52,0
 24-34,0,0,0,5.37,0.87,0,7.04,0,0,10.23,0,0,0.79,0
 36-46,0,0,0,1.74,0.63,0,0.76,0,0,8.27,0,0,1.98,0
 48-58,0,2.84,0,0.43,0,0,1.47,0,0.38,0.79,0,0,0,0
 60-70,0,0,0,1.52,0,0,5.44,0,0,19.01,0,0,2.26,0
 72-82,0,0,0.76,1.51,0,0,2.08,0,0,7.35,0,0,0,0
 84-94,0,0,0,5.13,0,0.68,0,0,0,3.32,0,0,0,0
 96-106,0,0,0,0,0,0,5.39,0,0,5.26,0.71,0,0,0
108-118,0,0,0,0,1.89,0,2.39,4.09,0,6.51,0,0,0,0.45
120,0,0,0,1.65,2.14,0,0,0,0,5.05,0,0,10.59,0
