stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros
  3-4,15.67,103.21,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.6,457.25,0,0,0,0,0,0,0,0,17.18,0,0
  7-9,36.3,13.99,13.12,0,45.74,13.79,0,648.03,12.05,0,171.14,0,0
 10-12,0,0,0,0,14.45,6.35,0,111.2,0,0,33.18,0,6.49
 14-21,0,0,0,1.05,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.88,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.35,0,0.92,0,0,0
 48-58,0,0,0,0,0.8,0,0,0,0,0,0,0.49,0
 60-70,0,0,0,0,12.63,0,0,1.28,0,0,0,1.04,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,2.47,0
