stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,22.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.47,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,7.88,0,0,87.49,0,13.34,3.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.33,22.31,9.78,0,0,0,4.75,0,0,0,0,0,0,0,0,0,52.48,0,0,78.85,18.43,1.18,0,5.05,0,0,0,8.29,0,0.99,42.04,21.72,0,0,0,0,0
 24-34,0,0,1.75,39.62,0.69,0,0,0,28.68,6.92,0,2.17,3.91,0,0,0.79,0,0,186.89,0,0,108.39,60.71,2.62,0,16.74,0,0,0,0,0.93,2.11,15.09,30.96,0,0,5.2,0,0
 36-46,0,0,0,18.88,0,0,6.9,0,19.14,37.45,0,0,0,0,16.86,3.12,0,0,183.8,0,0,90.65,45.3,2.05,0.93,32.48,0,0,13.06,0,1.24,0.88,0,17.8,0,0,0.75,0,0
 48-58,0,0,0,21.2,0,0,7.43,0,25.11,61.29,0.4,0,0,0,0,3.86,0.48,0,202.74,0,1.99,55.97,75.61,0,0,12.31,0,0,0.57,0,1.3,0,0.55,14.11,0,0,0.5,0,2.29
 60-70,0,0,0,8.53,0,0,18.61,0.58,13.72,54.1,9.25,0,0,0,0,1.73,0,0,360.05,0,3.05,23.09,80.87,0,0.9,5.21,0,0,0,0,0,0,0,14.31,0,0,0,0,0
 72-82,0,0,0,3.36,0,0,35.03,0,14.37,38.68,8.23,0,0,0,1.63,0,0,0,579.74,0.61,5,31.93,85.49,0,0,9.11,0,0,0,0,0,0,0,9.12,0,3.39,2.17,0,4.19
 84-94,0.62,0,0,11.31,0,0,32.08,0.57,13.98,42.21,12.26,0,0,0,1.75,0.73,0,9.11,486.07,0,0,29.62,20.95,1.84,0,11.22,0,0,0,0,6.59,0,0,0.87,0,1.03,0,0,0
 96-106,0,0,0,9.87,0,0.66,19.43,2.34,7.91,36.81,12.78,0,1.74,2.16,0,1.43,0,0,514.93,0.68,1.02,17.03,41.67,2.22,2.38,30.06,0,2.56,1.7,0,1.33,1.11,0,0,1.04,1.9,0,3.81,0
108-118,0,0,0,19.78,0,0,4.53,0,12.05,29.91,23.73,0,0,1.23,0,0.98,0,0,322.74,0,1.92,18.17,35.02,4.2,0.51,11.37,0,0,0,0,1.41,0,0,0,0,0,0,0,0
120,0,0,0,10.67,0,0,9.91,1.06,7.36,23.22,14.06,1.14,0,0,0,2.05,0,1.51,412.61,0,13.46,24.33,96.06,1.25,3.22,12.45,0,0,0,0,0,0,0,0,0,8.97,0,0,0
