stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.83,777.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.19,475.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,35.87,0,16.93,0,0,0,81.92,0,0,0,0,12.03,0,0,0,0,0,0,0,0,0,0,0,575.81,0,0,0,142.19,0,0,17.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,45.89,0,105.35,0,18.65,0,136.29,0,0,0,0,14.97,0,0,0,0,0,0,0,0,0,0,0,1642.14,26.97,0,0,346,0,0,3.78,0,85.09,0,0,0,0,0,0,0,0
 14-21,0.89,0,0.8,7.76,43.78,22.67,0,39.27,0,0,10.19,4.38,0,0,0,1.77,0,0,0,0,40.54,0,0,24.79,557.72,11.41,6.5,0,6.74,0,14.92,1.38,30.31,1.06,0,27.59,161.39,0,0,6.3,0,0
 24-34,0,0,0,1.27,21.76,3.93,0,144.25,1.86,2.78,11.23,2.88,0,3.21,0.7,0.84,1.57,2.22,0,0.61,105.69,0,4.87,36.06,1080.03,0.74,4.13,10.67,0,0,28.32,0,0,1.04,0,4.07,192.76,0,0,16.28,0,1.4
 36-46,0,0,0,0.56,12.57,0,0,206.11,1.58,0.8,9.89,0,0,0.57,3.69,0,0,0.71,0.62,3.56,93.74,0,0.57,49.82,510.08,2.62,8.84,2.91,0,0,15.75,1.61,0,2.21,0,0,84.86,0,0,4.21,0,7.37
 48-58,0,0,0,0.4,30.14,0,0,190,0,3.56,18.48,1.39,0,2.95,2.29,0,5.42,0.8,0.87,0,79.15,0.49,7.16,14.24,265.83,0.47,2.56,4.84,0,0.47,11.09,0,0,0.4,3.46,0,40.51,0,0,13.9,0,1.77
 60-70,0,0,0,0,13.32,0,0,142.38,5.78,0,41.74,4.12,0,0,3.25,0,0,0,3.22,0,58.39,1.41,4.94,8.31,208.86,0,1.99,0.76,0,0,1.44,0,0,0,0,0,23.56,0,0,5.03,0,0
 72-82,0,0,0,0,12.16,2.8,1.04,59.45,0,2.16,38.63,4.84,0,2.85,8.49,1.43,9.12,0.68,0.59,0,99.14,1.5,2.94,11.31,225.69,0,5.71,9.75,0,0,1.31,0,0,0,0,0,19.24,0.67,0,12.69,1.22,13.29
 84-94,0,0,0,1.01,20.74,1.53,0,86.66,0,8.38,27.61,3.37,0,0,5.86,0.56,0,1.57,4.71,0,86.19,0,5.75,7.95,164.03,5.3,1.93,7.76,0,0,2.41,0,0,0,0,0,7.28,0,0,10.71,2.17,7.74
 96-106,0,0,0.56,0,10.88,2.54,0,67.4,0,2.42,29.41,5.63,0,0.97,1.23,0.56,1.28,0.75,0,0,35.54,0,1.92,3.51,116.09,0,2.04,9.05,0,3.85,9.61,1.33,0,0.69,0,0,3.77,0,0.68,14.98,1.12,0
108-118,0,0,0,0.64,19.58,1.4,0.53,35.45,1.34,0.53,31.58,7.23,0,1.34,5.87,0.9,1.82,0.7,0.85,0,83.33,0,0,7.74,177.79,1.25,2.11,0.87,0,1.97,0.92,0,0,0,0,0,6.06,1.03,3,4.55,1.59,0
120,0,0,0,0,31.4,8.02,1.71,92.71,1.42,11.17,46.27,1.24,0,0,23.46,0,0,2.05,15.41,0,96.85,0,19.74,13.63,312.85,2.45,0,1.67,0,0,0,0,0,0,0,0,20.07,0,7.7,25.54,0,0
