stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,495.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.53,772.58,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,26.15,0,16.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,38.52,60.65,0,99.17,0,0,0,85.54,0,0,0,0,0,45.02,0,0,0,0,0,0,0,0,0,0,1229.11,54.24,0,0,380.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.65,0,141.39,0,13.55,0,158.75,0,0,0,0,0,35.53,0,0,0,0,0,0,0,0,0,0,1920.18,78.92,0,0,563.31,0,4.05,9.06,0,61.02,0,0,5.09,0,0,0,0,0
 14-21,0,0,2.34,5.4,34.41,7.31,0,24.7,0,0,0,12.07,1.2,0,2.37,0,0,0,0,0,0,32.34,0,9.37,284.19,10.55,4.76,0,0.89,0,0,0,12.02,0.81,0,30.78,108.08,0,0,0,0,0
 24-34,0,0,2.25,4.92,17.11,0,0,60.46,0,0,0.79,16.75,2.22,0,7.77,0.71,0,0,0,1.15,8.48,64.57,0,27.03,1078.04,0.68,2.05,5.17,0,0,1.37,0,0,0,2.4,4.25,225.06,0,0,19.96,0,0.63
 36-46,0,0,0,1.52,7.5,0.81,0,200.63,3.67,0,6.01,49.21,2.22,0,0.63,0,0,0,0,0,0,65.37,2.04,23.19,1437.19,0.56,3.04,4.01,0,0,7.8,0,0,2.13,1.12,0,276.59,0,0,8.36,0,1.02
 48-58,0.77,0,0,0,17.29,0,0,357.05,0.53,7.07,3.39,112.53,1.42,0,0,0.39,0,0,0.45,1.02,0,103.8,4.66,39.81,1467.21,6.69,10.54,2.43,0,1.48,3.29,0,0,4.59,0,0,262.92,0,0,6.31,0,12.87
 60-70,0,0,0,0,21.18,1.4,0,632.59,3.86,0,10.66,105.62,8.06,0,12.68,4,0,1.2,1.16,0,3.59,149.54,14.04,9.54,1416.89,0,3.04,3.82,0,0,0,0,0,0,0,0,198.82,0,1.8,17.15,0,5.83
 72-82,0,0,1.97,0,10.9,5.07,0,474.42,1.07,0.91,17.55,117.89,1.05,0,4.33,1.87,0,0,0,0,0,184.55,6.55,8.86,1039.89,1.23,1.42,3.39,0,0.84,7.22,0,0,0,0,0,124.09,0,0.51,6.67,1.99,2.8
 84-94,0,0,2.22,0,9.1,0,0,403.45,4.44,2.27,2.91,89.74,1.34,0,8.27,0,3.66,2.13,1.71,0,2.22,136.33,10.39,18.64,717.59,1.53,6.02,10.86,0,0.91,3.78,0,0,0,0,0,86.01,2,3.85,21.43,3.44,0
 96-106,0,0,0.88,0,5.33,3.3,0,291.93,0.94,0,7.8,88.86,2.69,0,1.46,1.96,1.37,3.67,0,0,0.57,135.85,0,15.82,624.78,0,2.3,4.26,0,0,4.08,0,0,0,0.58,0,26.23,0,3.25,27.56,0,0.79
108-118,0,0,1.15,0,10.43,0,2.4,250.34,0.58,4.19,13.29,86.93,7.98,0,3.04,2.8,0.98,8.31,0,0,4.61,136.99,13.15,8.35,732.56,0.57,11.71,5.57,0,0,2.87,0,0,0,2.04,0,36.39,2.02,0,11.14,2.9,0
120,0,0,0,0,18.35,3.79,0,283.16,7.8,17.64,16.22,206.17,2.91,0,2.18,0,0,8.92,0,0,0,347.84,33.35,33.28,1285.01,16.83,0,5.46,0,0,0,0,0,0,0,0,30.31,0,21.06,30.8,0,0
