stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,30.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.64,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,35.05,4.99,0,0,20.22,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.63,0,0,0,0,0,23.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.12,4.18,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,2.39,0,0,0,0,1.14,0,0,0,0,0.96,0,0,0.86,1.52,0,0.82,61.15,0,0,0,0.86,0,0,4.15,0,0,1.22,6.32,0,0,0,0,0
 24-34,0,0,0,8.62,0,0,2.58,0,0,0,6.02,0,0,0,0,0,0.77,0,0,0.61,4.86,0,0.99,519.36,0.74,0,5.74,0,0,0,0,0.84,0,0,27.15,0,0,1.77,0,0
 36-46,0,0,0,3.21,0,0,6.57,0,0,0,18.44,0,0,0,0,0,1.65,0,0.57,0,16.95,0,0,1075.09,0,1.14,0,0,0,1.55,0,1.23,0,0,82.06,0,0,0,0,0
 48-58,0,0,0,2.21,0,0,106.35,0.81,0,0,79.02,0,0,0.87,0,0,12.61,0,0,0,88.32,1.12,8.07,2430.99,0,1.3,0.5,0,0.45,1.61,0,0,0,0,376.03,0,0,0.77,0,0.97
 60-70,0,0,0,5.49,0.7,0,366.78,1.07,1.49,0,77.52,0,0,5.1,0,0,0,0,13.61,0,152.74,0,7.79,3847.5,0.66,0,5.43,0,0,4.06,0,0,0,0,518.28,0,0,0,0,5.24
 72-82,0,0,0,8.23,0,0,567.03,0,0,2.89,124.08,0,0,0,0.67,0,1.43,0,1.65,1.79,247.54,1.42,3.68,3687.38,0,0,2,0,0,5.08,0,0,0,0,282.95,1.36,0,4.98,1.85,0
 84-94,0,3.82,0,17.3,0,0,508.14,0,0.68,6.94,59.13,0,0,0,1.41,0,3.67,3.06,1.36,0,144.32,0,2.29,2782.97,0.65,0,7.38,0,0,6.57,0,0,0.64,0,262.02,0.71,0.57,3.51,4.53,0
 96-106,0,0,0,11.21,0,5.91,472.07,1.64,0,0,88.92,0.58,0,0.78,1.77,0,1.34,0,9.82,0,133.55,2.5,0,1987.52,0,0,0,0,0,6.99,0,0.81,0,0,83.11,4.84,4.79,7.97,4.48,0
108-118,0,0,0,18.32,1.35,0,331.89,0,0,1.27,71.31,2.22,0,0,0,0,11.16,0,0,0,170.79,0.72,6.16,1827.11,0,0,0,0,0,0.83,0,0,0,0,116.52,0,1.53,4.55,0.72,0
120,0,0,0,9.76,0,0,473.49,0,0,1.58,107.34,0,0,0,0,2.21,0,0,0,0,173.15,0,5.1,2828.9,0,8.55,1.34,0,0,18.52,0,2.43,0,0,99,0,0,1.41,0,0
