stage,epidermis,eye,glial,mesenchyme,neural,olfactory,spinal.cord
 14-21,0,0,0,0,0,0,1.18
 24-34,0,0,0,0,12.8,1.32,2.46
 36-46,0,0.85,0,0,55.93,1.42,9.98
 48-58,0,2.44,0,0,79.35,1.14,6.6
 60-70,0,14.67,0,1.97,131.77,0,17.08
 72-82,0.71,47.73,2.08,0.7,102.04,1.01,13.77
 84-94,0,27.37,0.89,1.69,79.28,0,2.16
 96-106,1.67,14.62,1.04,0,77.81,0,3.14
108-118,0,4.72,0,0,43.47,0,1.93
120,0,7.31,0,0,116.46,0,11
