stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,37.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0
  5-6,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0
  7-9,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,8.86,0,4.52,0,0,0,0,0
 10-12,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,50.23,0,0,0,0,0,0,0
 14-21,0,1.09,0,0,0,0,0,0,0,3.46,0,0,0,0,9.79,0,0,0,0.81,1.3,0,0
 24-34,0,0,2.06,0,0,0,0,0,0,13.85,0,0,0,0,7.69,0.77,0,0,0,1.97,0,0
 36-46,0,0,0.96,0,0,0,0,0,0,17.4,0,0,0,0,35.67,0,0,0,0,3.7,0,0
 48-58,0,0,2.72,0,0.51,0,0,0,0,4.49,5.56,0,0,0,17.79,0,0,0,0,0.74,0,0
 60-70,0,0,7.09,0,2.74,0.63,0,0,0.95,7.34,0,0,0,0,7.95,0,0,0,0,1.12,1.99,0
 72-82,0,0,4.7,3.27,3.68,0,0,0,0,1.65,0,1.89,0,0,32.75,0,0,0,0,2.43,5.8,0
 84-94,0,0,5.55,0.65,0,0,0,0,0.79,4.14,0,0,0,0,16.84,0,0,0,0,0,5.35,0
 96-106,0,0,13.37,0,0.68,0,3.66,3.07,1.84,4.01,0,2.91,0,0,5.35,0.56,0,0,0,0,7.02,0
108-118,0,0,2.56,0,5.02,1.21,0.83,1.19,6.27,3.29,1.1,0,0.53,0.93,1.64,0,0,0,0,0,5.5,1.52
120,0,0,15.3,0,6.06,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
