stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8,9.37,0,0,4.67,0,0,0,0,0,0,0
 14-21,0,0,1.85,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,14.58,0,2.7,0,0
 24-34,0,0,0,4.36,0,0,0,0,0.89,0,0,0,13.46,0,0,0,0,0,0,0,0.97,161.67,0,0,0,0,0.83,0,32.71,0,10.31,0,2.08
 36-46,0,0,1.07,1.38,3.25,0,0,0.79,6.75,0,0,1.21,19.99,0,0,0,0,1.37,0,0,0,458.88,0,0,0,0,0,5.91,60.55,0,7.27,0,0
 48-58,0,0,1.63,0.44,35.84,0,0,0,43.79,0,0,0,22.21,0,0,0,0,2.69,0,0,0.58,769.51,0,3.17,0,0,2.39,0,120.76,0,7.41,0,0
 60-70,0,4.68,0,3.29,67.7,0,1.77,0.59,76.15,0,0,0,45.4,0,0,0,0,10.2,0,0,0.61,1589.71,0,0,0,0,0,0,161.7,0,20.3,0,0
 72-82,0,0,0.8,13.62,101.55,0,0,2.34,47.03,0.71,0,1.75,92.7,0,0,0.68,0,19.14,0,0,0.53,1445.14,0,1.91,0,0,7.87,0,94.91,0,15.92,0,5.31
 84-94,0,0,5,6.24,75.77,0,0,0,22.78,1.01,0,1.81,125.85,1.78,0,0,0,14.68,9.3,0,0,974.06,0,0,0,0,0,0,70.07,0,21.75,0,0
 96-106,0,0,3.43,3.42,73.37,0,0,4.86,22.08,0.83,1.06,1.64,126.4,0.58,0.95,0,2.11,12.43,0,0,0.78,604.49,0,0,1.04,0,1.14,0,41.15,0,18.43,0.96,0
108-118,0,0,4.3,6.01,55.95,0.56,0,0.48,31.07,3.63,0,4.38,142.83,0,1.24,0,0,7.02,0,2.41,0.54,848.75,0,1.07,7.39,0,0.45,0,17.19,2.34,20.47,0,0
120,0,0,7.2,10.26,78.48,0,0,1.58,58.02,0,0,0,160.3,0,0,0,0,7.81,0,0,1.82,1568.78,0,0,0,0,2.4,0,77.13,0,14.75,0,0
