stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,59.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.86,43.26,0,0,0,0,0,0,0,0,0,0,81.88,0,0,15.55,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.28,6.54,0,23.6,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5,0,0,0,0,0
 14-21,0,0,0,5.72,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0.9,0,0,0
 24-34,0,0,0.65,0,0,0,0,0,0,0.6,0,1.23,3.05,0,0,0,0,0.81,2.41,0,0
 36-46,0,0,0,0,1.19,0,0,0,2.34,5.73,0,0,0.73,0,0,0,0,1.02,0,0,0
 48-58,0,0,0,2.34,1.9,0,0,0,0,3.76,0.37,0,7.32,0,0,0,1.42,1.03,0,0,0.54
 60-70,0,0,0,1.56,7.25,2.42,0,0,0,1.86,0,0,4.6,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.2,1.01,0,1.88,1,0,0.7,0,1.96,6.64,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,8.23,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.92,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,2.26,0
