stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,heart,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,126.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.68,0,0,8.1,0,22.82,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.66,0,0,0,0,0,0,6.07,0,0,32.73,0,0,4.61,3.11,0,0,0,0,0
 14-21,0,0,1.21,0,0,0,0,0,0,1.05,0,0,12.27,0,0,0.88,0,0,0.83,0,1.15,0,9.52,0,0
 24-34,0,0,0,3.13,1.78,0,3.48,0.86,0,1.54,0,0,25.89,0,0.74,0,0,0,0,0,5.4,0,44.48,0,7.88
 36-46,0,0,4.5,2.91,3.22,0,0,0,0,6.74,0,0,45.04,0,0,0,1.22,0,0,0,18.31,0,38.14,0,0
 48-58,0,0,0,11.3,1.8,0,2.35,0,0,2.74,0,0,31.78,0,0,0,0,0,0,0,4.01,0,21.15,0,0
 60-70,0,0,0,4.89,8.19,0,6.79,0,0,6.6,0,0.82,17.35,1.08,0,0,0,0,0,0,2.67,5.1,27.63,0,0
 72-82,0,0,0,11.51,6.57,0,0.51,0,0,16.52,0.91,1.24,4.91,0,0,0,0,0,0,0,1.3,0,76.2,0,0
 84-94,0,1.04,0,0.64,6.08,0,3.77,0,4.77,9.42,0,0,9.55,0,0,0,0,0,0,0,7.59,0,64.22,0.68,0
 96-106,0,1.78,0,1.76,4.27,0,0.79,0,0,12.97,0.85,0,5.77,0,0.65,0,0,0,0,0,2.78,1.74,32.54,1.96,0
108-118,0,0,0,3.35,10.97,0,0,0,0,14.04,0,0.91,1.99,1.47,0,0,1.13,0,0,0,0,0.53,61.52,0,0
120,0,0,0,0,2.66,0,0,0,0,3.63,0,0,21.13,0,0,0,0,0,0,0,0,0,54.85,0,0
