stage,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.3,0,0,17.66,0,0,0,24.28,0,0
 24-34,0,0,1.3,0,0,0,0,0,0,0,0,0,288.98,1.25,0,0,111.14,0,0
 36-46,0,0,17.74,0,0,0,0,0,0,0,0,0,731.77,2.92,0,0,213.11,0,1.23
 48-58,0,0,78.11,0,22.66,0,0,0,0,4.17,0,0.69,1179.32,0,0,0,262.73,0,5.94
 60-70,0.89,0,224.62,0,0.77,0,0,0,1.16,5.72,0,1.38,1154.87,0.73,0,0,264.48,0,0
 72-82,0.62,2.48,208.81,0,5.26,0,2.57,0,0,3.26,0,0,1144.95,3.24,0,0,250.04,0.56,0
 84-94,0.66,1.46,125.64,0,11.69,0,0,0,0,2.44,4.57,0,642.71,8.99,0,0,127.19,0,0.76
 96-106,0,4.81,145.97,0.78,11.14,2.54,2.21,0,0,1.21,0,0,494.59,7.25,0,4.35,50.3,0,0
108-118,0,3.83,137.93,0,5.44,0,0,1.01,0,4.35,0,0,644.07,8.16,1.72,0,45.24,0,0
120,0,0,187.26,0,15.26,0,0,0,0,0,0,0,875.73,15.22,4.64,0,58.6,0,0
