stage,epidermis,eye,fin.mesenchyme,glial,heart,mesenchyme,neural,notochord,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,3.71,0,0,0
 10-12,0,0,0,0,0,0,0,11,0,0,0
 24-34,0,0,0,0,0,0,0.97,0,0.67,0,0
 36-46,0,9.11,0,0,0,0,7.38,0,0.97,0,0
 48-58,0,1.48,0,0.66,0,0,17.24,0,0.81,0,2.14
 60-70,0,4.81,0,0,0,0,22.12,0,1.78,0,0
 72-82,0.71,21.38,0,0,0,1.77,21.68,0,0,0,1.94
 84-94,0,26.53,0,0,0,0.97,20.15,0,1.05,0,0
 96-106,0,19.47,0,0,0,0.68,36.13,0,0,0,0
108-118,2.23,40.52,0,0,0.69,0,51.3,0,0,1.11,3.51
120,0,15.27,10.19,0,0,0,73.24,0,0,0,0
