stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.12,0,0,6.11,0,0,0,0,0
 14-21,0,0,0,0,15.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0.86,0,0,0,0,3.44,0,0
 24-34,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,91.43,0.76,0,0,0,1.27,31.01,0,0
 36-46,0,0,0,0,0,0,4.68,0,0,0,2.02,0,0,0,0,0,0,1.67,0,0,0,290.16,0,0,0,0,6.32,63.29,0,0
 48-58,0,0,0,0,3.34,0,71.29,0,0,0,10.49,0,0,0,0,0,0,8.38,0,0,0,584.2,0,0,0,0,3.98,79.52,0,0
 60-70,0,0,0,0,1.02,0,176.58,0,1.4,0,7.67,0,0,0,0,0.73,0,10.39,0,11.04,0,726.44,0,0,0,0,7.84,62.73,0,0
 72-82,0,0,0,0,5.46,0.6,355.84,0,0,0,17.25,0,0,0,0,0,0,5.68,0,0,0,671.31,0,0.59,0,0,0,39.63,0,0
 84-94,0,0,0,0,5.8,0,257.72,0,0,3.02,13.22,0,0.7,0,0,0,0,6.25,0,0,2.79,421.45,0.86,0,0,0.6,3.66,12.78,0,4.79
 96-106,0,0,0,0,5.91,15,245.7,0,0,0,16.59,0,0,0,0.63,0,10.51,10.57,3.31,0,6.36,446.56,0.66,1.04,0,0,5.4,17.3,2.37,0
108-118,0,0,0.61,0,8.16,2.92,136.44,0,0,0,17.85,0.63,0,1.01,0,0,0,6.08,1.54,0,0,376.42,1.93,0.72,0,0,6.37,13.31,0,0
120,0,0,0,0,22.81,0,143.72,7.84,0,0,4.95,0,0,0,0,0,0,4.99,0,0,0,712.73,0,0,0,0,2.57,4.01,0,0
