stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature
  7-9,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,2.94,0,0,0,0.88,1.86,0,0.8,1.41
 24-34,0,1.54,0,0,0.79,0,0,0,1,0,0,0,0,5,0,0,2.88,15.68,0,0,0,0,0,0,3.05,3.96
 36-46,0,0,1.83,0,0.72,0,0,0,0,0,0,0,1.47,4.08,2.15,0,1.59,25.15,0,1.02,0,0,2.7,0,5.28,0
 48-58,0,0,0,0,1.15,4.37,0,0.49,0,0.53,0,0,0,9.99,0,0,0.38,5.75,0,0,0,0,2.29,0,2.73,0
 60-70,0,0,1.15,0,13.98,0,0.86,0,0,0,0,0,0,2.35,0,0,0,23.28,7.79,0,0,0,0,0,1.48,2.55
 72-82,0,0,1.93,0,11.2,0,0,0,0,0,0,2.2,0,8.44,0,0.72,0,17.34,0,0,0,0,1.14,1.07,0,2.74
 84-94,0,0,1.97,0,8.16,6.8,1.2,0,0,1.72,0,0,0,4.49,0,0,0,13.73,3.97,0,0,0,3.51,0,0,0
 96-106,0,0,0,1.05,3.66,0,0.82,0.98,0,4.66,0.97,0,0,6.14,0,0,1.06,23.33,0,0,0,0,6.52,0,0,0
108-118,0,0,6.08,0,1.99,0,3.89,0.59,0,0.81,0,0,0,7.43,0,0,0,20.19,0.57,0.81,0.49,0,1.5,0,0,0
120,0,0,4.73,0,16.3,0,0,0,0,0,0,0,0,0,1.47,0,0,54.59,0,1.46,0,0,2.93,0,0,0
