stage,epidermis,eye,immune,mesenchyme,neural,spinal.cord,vasculature
 36-46,0.62,0.78,0,0,0,0.79,0
 48-58,0,0,0,0,7.14,0,0
 60-70,0,0,0,0,1.75,0,0
 72-82,0,0,3.41,0,1.55,0,0
 84-94,0,0,8.24,0,2.7,0,0
 96-106,0,0,10.11,0,0,0,0.59
108-118,0,2.4,15.2,0,2.06,0,0
120,0,0,43.79,8.21,3.78,0,0
