stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,otic,periderm
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,270.69
  5-6,32.39,0,0,0,0,0,0,0,0,0,0,0,1058.2
  7-9,0,0,0,0,0,0,0,0,0,3.64,0,0,69.98
 10-12,0,0,0,0,0,0,0,0,0,10.47,5.72,0,0
 14-21,0,0,0,1.07,1.92,0,0,0,0,0,0,0,0
 24-34,0,2.08,0,0,0,0,0,0,0,0.69,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.44,0
 48-58,0,0,0,0,0,1.6,0,0,0,0,0,1.35,0
 60-70,0,3.87,0,0,5.4,1.1,0,0,0,0,0,3.16,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,5.18,0
 84-94,0,0,0,0,0,0.84,0,1.73,1.77,0,0,38.83,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,30.69,0
108-118,0,0,0,0,0,0,0.98,0,0,5.27,0,9.58,0
120,0,0,3.93,0,0,27.99,0,1.49,0,0,1.12,1.87,0
