stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,4.47,0,0,0,0,0,0,0,0
 14-21,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42,0,0,0,0,0,1.36,0,0,0,0,0
 24-34,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,10.71,0.88,0,0,236.93,0.72,0,0,0,0,31.46,0,0,0,0,0
 36-46,0,0,0,0,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,492.19,0,0,0,0,0,51.63,0,0,0,0,0
 48-58,0,0,0.43,0,21.86,0,0.44,3.19,0,0,0,0,0.4,0,1.47,20.55,0,1.85,722.96,8.35,0.82,0,0,0.37,80.51,0,0,0,0,0
 60-70,0,0,2.5,0,34.91,0,7.96,10.98,0,0,0,0,4.51,0,0,27.35,5.85,0,509.5,0,1.96,0,1.55,0,56.92,0,0.84,2.98,0,0
 72-82,0,0,0,1.78,54.01,0,0.56,5.03,0.64,0,0,0,0,2.76,0,40.49,24.81,0,518.07,0,4.21,0,0,1.13,28.75,0,1.92,0,3.56,9.6
 84-94,0,0,1.23,4.56,31.83,1.23,0,3.2,0,0,0.65,0,0.56,0.55,0,33.73,20.18,0,297.07,3.49,2.12,0,0.67,8.27,16.87,1.79,0,0,4.56,0
 96-106,0,1.23,1.33,0.87,62.23,0.58,2.03,10.44,0,0,0.78,0.81,0,7.47,0,25.28,13.33,0,315.76,0,1.9,0,0.82,4.37,8.07,0,1.58,0,2.61,0
108-118,0,0,0,4.39,43.24,0.71,1.94,16.67,0,0,0,0,0,2.47,0,35.27,3.5,0.65,441.37,0,0,0,0,0.55,6.27,0,1.1,0,0,0
120,0,0,0,29.89,31.93,0,0,34.35,0,3.65,0,0,0,0,0,3.49,11.05,0,706.91,0,0,0,0,0,36.93,0,0,0,3.91,0
