stage,epidermis,eye,glial,ionocyte,iridophores,mesenchyme,neural,notochord,olfactory,periderm,pronephros,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,6.7,0
 24-34,0,1.93,0,0,0,0.69,3.03,0.6,0,1.71,0,2.77,0
 36-46,0,2.2,0,4.73,0,0.66,6.83,0,0,2.38,0.67,4.35,0
 48-58,0.47,1.41,0.7,0,0,0,4.24,0,0.6,0,0,3.46,0
 60-70,0,3.37,0,0,0,0,1.16,0,0,0,0,0,0
 72-82,0,12.26,5.53,0,0,0,7.98,0,0,0,0,0,0
 84-94,0,26.41,2.26,0,0.68,0,2.8,0,0,0,0,0,0
 96-106,0,0,0.78,0,0,0,0.87,0,0,0,0,0,0
108-118,0,13.78,1.91,0,0.91,6.91,3.05,0,0,0,0,0,0.79
120,17.76,0,0,0,0,0,0,0,0,0,0,0,0
