stage,axial,blastomeres,endocrine.pancreas,eye,glial,gut,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,11.28,23.67,0,0,0,0,0,0,0,0,0
  5-6,0,49.63,0,0,0,0,0,0,0,0,0
  7-9,0,11.69,0,0,0,0,0,28.91,20.39,0,0
 10-12,0,0,0,6.69,0,0,0,11.86,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.88
 24-34,0,0,1.26,0,0,0,0,0.85,0,0,0
 48-58,0,0,0,0,0,0,0,2.09,0,0,1.46
 60-70,0,0,0,0,0,0,0,3.62,0,0,1.52
 72-82,0,0,0,0,0,0,0,6.82,0,0,3.47
 84-94,0,0,0,0,0,0,0,6.07,0,0,0
 96-106,0,0,0,0,1.71,1.09,0,5.61,0,0.83,1.07
108-118,0,0,0,0,0,0,0.67,23.36,0,0,0
120,0,0,0,0,0,0,0,47.85,0,0,0
