stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.88,0,0,7.75,0,0,0,0,0,0,0
 14-21,100.75,3.59,0,0,0,0,0,0,0,0,0,9.09,0,0,0,16.31,0,0,0,0,7.73,0,1.01,0,0,0
 24-34,120.54,4.7,2.85,0,0,0,0.79,0,0,0,0,36.16,0,2.43,0.67,93.08,4.92,0.75,0,0,7.85,0,0,0,0,0
 36-46,36.66,2.88,4.03,0,1.17,0,3.63,1.66,0,0,0.61,29.04,0,0.57,7.33,189.48,2.49,0.56,0,0,18.46,0,8.15,0,1.47,0
 48-58,30.97,4.71,6.01,0,0,1.78,2.25,0,0,0,0,26.09,1.98,1.52,7.58,318.66,2.25,0,0,0.4,4.68,0.37,2.13,1.77,1.06,0
 60-70,4.16,0,12.03,2.26,0,0,3.02,0,0,0,0,30.98,0,0.7,6.77,298.62,0,0,0,6.18,0,0,0,1.61,1.68,0
 72-82,4.09,0,11.23,0.84,0,2.63,0,0,0,0,6.49,47.5,0,9.21,9.65,120.91,0.53,0,0,0,0,0,0,3.44,4.81,0
 84-94,4.11,0,9.06,2.03,0,0,1.57,1.88,0,0,1.11,35.47,0,3.12,12.12,17.29,0,0,0,3.18,0,0,1.37,0.99,6.49,0
 96-106,2.18,0,1.69,0,0,1.62,3.14,0,0,1.79,0,27.18,0,1.82,9.69,40.88,0,0,0,5.22,3.4,0,0,2.19,4.3,1.71
108-118,1.37,0,2.6,0.6,0,1.86,0.86,0.59,3.03,0,0,30.31,0,0,1.35,103.49,0.62,0,0,12.45,0,0,0,2.07,4,0
120,1.52,0,0,0,0,0,0,0,0,0,0,28.47,0,0,0,80.53,0,0,0,119.78,0,0,0,0,3.85,0
