stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,30.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,16.8,0,0,9.28,0,0,0,0,0,0,0,0,0
  7-9,11.5,3.64,0,0,24.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.12,4.8,0,0,59.36,0,0,0,0,0,0,0,0,0
 10-12,0,27.69,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.08,7.81,0,0,52.32,0,14.54,0,11.42,0,0,0,0,0
 14-21,0,2.89,13.75,7.1,0.83,0,0,0,0,0.85,0,0,0,0,0,0,3.55,0,0,3.8,26.08,0,0.96,2.48,2.33,3.65,0,7.83,1,7.82,2.74,0,1.01,0
 24-34,0,2.52,13.87,0,1.66,0,0,0,0.73,0.91,0,1.5,0,2.51,0,0,1.52,0,0,1.35,30.92,0,0.69,8.26,0,17.94,0,0,1.79,2.42,11.08,0,9.62,0
 36-46,0,0,2.27,0,2.84,0,0,0,0,0.59,0,1.77,0,0,0.83,0,5.84,0,0,3.05,7.59,0,0.69,8.3,0,20.79,0,0,0,0,5.13,0,3.34,0
 48-58,0,0,0.95,0,3.93,0,0.55,0,2.12,0.58,2.55,0,0,0.88,1.45,0,3.29,0,0,0,18.15,0,0,0,0,5.67,0,0,8.42,0,3.2,0,0,0
 60-70,0,0,0.63,0,20.35,0,0,0,3.19,1.27,0,5.9,0,2,0,0,2.43,0,0.62,0,14.6,0,1.43,1.59,0,2.8,0,0,0,0,0,0,0,0
 72-82,0,0,1.89,1.45,22.72,0,0,0,6.63,0,0,0,0,1.99,5.62,0,4.02,0,0,2.62,40.12,0,0,9.81,0,4.86,0,0,0.52,0,3.61,0.74,8.15,0
 84-94,0,0,2.1,0.94,14.05,0,1.15,1.27,7.41,1.37,0,1.96,0,0.73,0,0,3.91,0.65,0,2,8.09,0,2.6,9.43,0,21.72,0,0,2.08,0,0,0.57,4.44,0
 96-106,0,0,8.46,0,23.42,0.57,0,1.31,19.18,4.9,0,0,0,7.63,0,0,6.95,0,0,2.87,10.45,0,0.63,20.39,0,2.8,0,0,0,0,0,0,5.22,2.76
108-118,0,0,14.56,0,2.46,0,1.17,0.88,10.03,2.52,0,1.11,2.36,4.15,4.02,3.18,5.96,0.91,1,2.09,35.98,0,1.37,24.13,0,7.44,0,0,2.33,0,10.45,0.44,2.84,0
120,0,2.55,19.7,0,13.39,0,3.44,9.59,11.18,2.45,0,0,1.62,5.95,2.78,0,15.05,3.82,0,0,49.63,0,2.89,31.15,0,20.03,0,0,3.24,0,0,0,0,0
