stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  5-6,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,0,0
 14-21,0,0,1.7,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0
 24-34,0,0,5.36,0,0,0.82,0,0,0,0,0,0,0,0.88,1.36,0,0,0,0,0
 36-46,0,0,0,0,0.57,0.89,0,0,0,10.31,0,0,0.86,1.11,0,0,0,0,0,0
 48-58,0,0,0,0,0.38,0.46,0,0,0,76.65,0,0,8.05,1.58,0,0,0,1.47,0,0
 60-70,0,0,0,0,0,0,1.65,1.4,0.82,145.97,0,0,36.17,3.81,0,0,0.7,2.77,0.9,0
 72-82,0,0.75,0,0,7.28,0.5,2.01,0,0,368.78,0,0.55,35.06,6.41,0,0,0,0,0,0
 84-94,0,0,4.25,0,14.88,1,3.28,0,0,306.76,1.38,0,24.65,1.99,0,5.57,0,0,0,0
 96-106,0,0,1.64,0,7.24,0,0,0,0,715.52,0,0,39.07,30.28,0,0,0,0,1.87,0.81
108-118,0,0,2.24,0.89,1.26,1.38,1.6,0,0,608.05,0,2.92,10.78,27.96,0,0,0,0,0.9,0
120,0,0,0,0,1.83,4.34,0,0,0,1261.47,0,0,34.44,6.33,0,0,0,0,0,0
