stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,10.2,390.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0,0,0
  5-6,20.55,636.2,0,0,0,0,0,0,0,0,0,0,8.67,0,0,14,0,9.07,0,0,0,0,0,0
  7-9,14.21,0,0,0,0,0,0,0,0,0,0,0,213.71,9.87,0,81.08,0,0,0,0,0,0,0,0
 10-12,0,0,5.27,0,0,9.54,0,3.59,0,0,0,0,109.91,7.02,0,48.81,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,10.38,3.48,1.94,1.09,0,0.91,0,6.5,5.19,44.46,0,0,0,0,0,2.69,0,5.46,10.23,0,0
 24-34,0,0,0,2.27,0,4.84,0,0,0,3.11,3.43,0,33.6,0,1.21,0,0,21.79,0,0.61,0,14.02,2,0
 36-46,0,0,0,1.07,0,6.94,0,0,0,0,0,1.36,17.94,0,1.69,0,0,5.3,0,0,0,2.4,0,0
 48-58,0,0,0,0,0,6.51,0,0,0,0,4.07,0,21.33,0,0,0,0,4.63,0,0,0,0.58,0,1.01
 60-70,0,0,0,0.73,0,13.14,0,0,0,0,0.79,0,7.87,0,0,0,0,3.93,0,0,0,1.02,0,0
 72-82,0,0,0,0,0,18.5,1.45,0,0,0,3.02,0,10.72,0,5.22,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.54,0,1.31,0.6,0,0,0,2.98,0,0.79,0,0,0,0,2.4,0,0,0,0,0.8,0
 96-106,0,0,0,0,0,2.42,0.99,0,0,0,4.3,0,8.82,0,2.62,0,1.11,0,0,0,0,0,2.73,0
108-118,0,0,0,0,0,0,0.54,0,0,1.26,2.61,0,1.28,0.59,1.04,0,0,1.46,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,12.48,0,0,0,0,0,0,0,0,0
