stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,126.8,1559.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.6,769.86,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,20.95,0,0,0,8.05,34.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.27,0,0,30.66,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.64,19.43,0,0,22.81,15.75,7.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.53,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.17,57.18,0,0,31.25,4.8,9.4,0,0,0,15.63,0,0,0,0,0,0
 14-21,0,0,0,0,1.68,1.72,0,0,0,0,0,1.53,1.85,0,0,0,0,0,0,2.08,0,4.76,48.76,5.14,2.56,0,3.71,13.99,0,8.3,0,64.55,135.66,42.79,0,0,0,0,0
 24-34,0,0,1.23,0,8.99,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,80.23,4.07,4.72,0,0,0.71,0,0,1.28,3.6,16.95,42.56,0,0,0.77,0,0
 36-46,0,0,0,0,0,0,0,6.11,0,0,0.82,1.75,0,0,0,0,0,0,0,0.66,0,1.71,82.15,0,6.88,0,0,5.86,0.81,0,0,0,0,23.5,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,5.65,0.81,0,2.27,1.26,0,0,0,0.56,0.4,0,9.06,1.11,0,0.58,48.16,0,13.13,0,0,0.4,0,0,0,0.47,0,14.7,0,0,0,0,2.59
 60-70,0,0,0,0,0,0,0,41.72,0,1.57,0.81,4.38,0,0,0,6.02,0,0,0,1.39,0,0,47.47,0,0.96,0,0,1.8,0,0,0.73,5.27,0,10.29,0,0,0,0,0
 72-82,0,0,0.69,0,0,0,0,20.53,2.53,0,1.99,11.69,0,0,0,0,0,0,0,0,0,0.85,49.41,0,3.94,0,0,5.41,0,0,1.35,0,0,12.87,0.95,0.73,2.28,0.71,0
 84-94,0,0,0,0,0,0,0,31.26,3.08,0.59,0,0.8,0,0,0,2.28,0,0,1.22,3.72,1.04,0.93,65.6,0,9.78,0,0,9.65,0,0,2.71,1.23,0,1.9,2.96,0,0,0,14.87
 96-106,0,0,0,0,0,3.67,0,41.26,6.7,1.61,0,17.04,0,0,0,0,0,14.15,1.07,8.59,0,0,69.23,0,14.41,0.83,0,13.5,0,0,2.12,0.84,0,1.95,1.23,0,0,0,0
108-118,0,0,0,0,10.4,0,4.98,49.87,11.14,2.95,0,4.95,0.55,0,1.42,11.6,0,4.36,5.64,2.53,1.31,1.52,95.72,0,5.52,0.79,0,1.61,0,0,2.35,1.42,0,8.1,1.07,0.47,0,0,4.96
120,0,0,14.01,0,1.69,0,0,50.5,11.46,0,0,21.1,0,0,0,2.09,0,1.08,0,0,0,11.49,150.98,0,0,0,0,5.37,0,0,2.77,0,0,1.7,1.84,2.15,0,0,0
