stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,6.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,9.74,0,0,0,0,0,0,0,0
 14-21,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0,0,8.38,0,0,0.84,0,0,1.81,2.42,0,1.84,0,0,0
 24-34,0,0.6,6.59,5.34,0,0.96,0,0,0,0,0,0,0,0,10.96,0,0,0,0,0.72,26.43,0.97,0,0,0,0,0,0,0,1.09,0,0,0
 36-46,0,0,15.99,1.99,0,0,0,0,0,0,0,0,0,0,34.33,0,0,0.71,0,0,85.43,0,0,0,0,0,0,0,0,4.88,0,0,0
 48-58,0,0,26.98,33.24,0.62,0,0,4.58,0,3.95,0,0,0,0,31.79,0,2.29,0,0,0.61,176.76,0,1.22,3.84,0,0.65,0,0,0,17.12,0,0,0
 60-70,0,0,15.44,297.37,0.62,0,0,9.91,0,0,0,0,0,0,47.74,6.87,1.46,0,0,0,202.52,0,0,7.23,0,0,0,0,0,2.86,0,0,0
 72-82,0,0,5.21,383.17,0,0,1.1,5.82,0,0,0,0.6,0,0,80.6,0,30.31,0,1.54,0,305.46,0,0,0,0,4.67,0,0,0,11.94,0.94,0,0
 84-94,0,0,18.86,346.17,1.5,1,0,1.5,0.62,0,0,0,0,0,79.42,0,2.48,0,0,0.82,178.6,0,0,0,0,4.32,0,0,0,15.58,0,0,0
 96-106,0,0,6.85,172.86,0,0,0,1.63,1.05,0,0.75,0,1.68,1.62,80.76,0,3.52,0,0,0,197.19,0,0,2.15,0,9.4,0,0,0,8.98,0,0,0
108-118,0,0,4.86,235,1.32,0,0,6.64,2.22,0,0,0,0,0,49.16,0,15.7,0,0,0,174.43,0,0,0,0,4.57,0,0,0.42,3.53,0,0,0
120,0,0,26.54,202.98,0,3.8,0,17.06,10.49,0,0,1.92,0,1.11,32.53,0,2.77,0,0,0,303.46,0,0,0,0,1.03,0,0,0,13.82,0,4.27,2.08
