stage,endocrine.pancreas,endoderm,eye,glial,gut,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0
 10-12,0,0,5.99,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.29,0,0,0,0,0,0,0,0,1.76,0
 24-34,0,0,0,0,0,1.31,0,0,2.6,0,0,0,1.08,0
 36-46,0,0,0,0,0,1.33,0,0.7,0,0,0,0,0,1.25
 48-58,0,0,0,3.5,0,0,0,0,5.34,0.44,0,0.45,0,0
 60-70,0,0,0,0.81,0.84,1.12,0,0,0,0,1.49,0,0,0.8
 72-82,0,0,0,3.8,0,0.66,0.81,1.23,0,0,0,0,0.63,0
 84-94,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0
 96-106,3.46,0,0,0,0,1.42,0,0,0,0,0,0,0,0
108-118,1.28,0,0.52,0.73,0,0,0,0,4.69,0,0,0,0.54,0
120,0,3.17,9.83,0,0,0,0,2.94,1.96,0,0,0,0,0
