stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0
  5-6,34.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.73,0,0,3.28,0,0,6.03,0,0,0,0,0,0
 10-12,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.39,2.69,1.01,0,0,0,0,0,0,0,0,2.44,0,66.32,0,0,0.88,0,0,0,0,12.47,0,0,0,0
 24-34,0,0.81,2.4,11.01,0,0,3.64,0,0,0,0,0,7.35,2.48,345.2,2.27,0,0,0,0,0,0,84.7,0,0,0,0
 36-46,0,0,0.63,21.36,0,0,25.68,0,0,0,0,3.65,21.64,1.35,371.22,0.63,0,0,0,11.52,0,0,68.59,0,0,0,0
 48-58,0,0,0,59.53,1.02,0,35,0.48,0,0,0,0,12.19,0.93,225.04,0,0,0,0,0,0,0,50.08,0,0,0,0
 60-70,0,0,0.64,214.56,0,0,31.65,0,0,0,0,0,26.71,1.91,165.65,6.77,1.26,0,0,0,0,0.58,24.54,0,2.47,0,0
 72-82,0,0,3.62,208.51,0,0,27.69,0,0,0,5.32,0,19.42,1.66,137.96,0,0,0,0,0,0,0,21.48,0.8,0,1.78,3.65
 84-94,0,0,0.95,163.68,0,0,18.25,0,0.59,0.8,0,0,31.81,0,97.98,0,0.85,0,0,0,0,0,4.72,0,0,0,0
 96-106,0,0,0.89,196.07,0.87,0,26.29,0,0,1.05,0,0,5.8,0,93.76,0,1.77,0,0,0,0,0,2.79,0,0,0.56,0
108-118,0,0.89,0,137.52,0,0.44,27.94,0,0.43,0,0,4.49,16.65,0,177.07,0,2.38,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,88.88,0,6.64,23.78,0,0,0,0,0,40.67,2.38,63.31,0,1.86,0,9.36,0,0,0,20.31,0,0,0,0
