stage,blastomeres,erythrocytes,eye,glial,hatching.gland,mesenchyme,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,40.15,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.54,0,0,0,4.75,0,0
 10-12,0,0,0,0,0,0,12.23,0,0,0,0
 14-21,0,0,0,0,0,0,0.83,0,0,0,0
 24-34,0,0,0,0,0,0,4.77,0,0,0,0
 36-46,0,0,0,0,0,0,5.48,0,0,0,1.15
 48-58,0,0,0,1.15,0,0,1.04,0,0,0,0.51
 60-70,0,0,0,0,0,0,3.2,0,0,0,0
 72-82,0,0,1,0,0,0.98,6.04,0,0,0,0
 84-94,0,1.78,0.75,0,0,0,4.05,0,0,0,0
 96-106,0,0.69,0,0,0,0,0,0.74,0,2.62,0
108-118,0,0,0.5,0,0,0,1.52,0,0,0,0
120,0,0,0,0,0,0,4.85,0,0,0,0
