stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,1.25,0,0
 24-34,0,0,0.97,0,1.97,0,0,0,0,0,1.7,0,0,0,0,35.37,0,3.52,20.31,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.74,0.57,3.11,30.21,0,0
 48-58,0,0,0,0,0,0,5.83,0,0,0,0.44,0,2.58,0,0,113.73,0,2.14,26.74,0,0
 60-70,0,0,0,0,0,0,59.53,0,0,0,7.89,0,2.47,0,5.81,299.37,0,1.1,56.46,0,0
 72-82,0,0,0.64,0,0.61,0,41.97,0,0.53,0.89,1.88,0,3.47,0,1.48,203.97,0,7.12,24.36,1.56,0
 84-94,0,0,0.66,0,0,0,16.03,0,2.53,1.84,3.6,0,5.45,0.85,0,156.19,0,3.77,30.9,0,0.69
 96-106,0,0,0,0,0,0,20.07,0,2.29,0,4.86,0,3.32,0,0,76.13,0,3.47,5.21,0,0
108-118,0,0,0,0,0,2.73,18.15,0,0,0,5.05,0,2.11,2.64,0,128.42,0,4.26,13.45,0,0
120,0,0,0,0,0,0,17.13,2.28,0,0,22.49,1.74,11.66,0,4.89,184.62,0,3.72,0,0,0
