stage,blastomeres,erythrocytes,eye,fin_epithelia,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.38,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0
 14-21,0,0.93,0,0,0.84,0,0,0,0,0,10.5,0,0,1.59,1.63,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.21,0,0,7.31,0,0,0,0,0.74,0,0,0.81
 36-46,0,0,1.79,0,0,0,0,1.78,0,0,12.22,0,0,0,0,1.14,0,0,0
 48-58,0,0,2.5,0,0,0,0,1.78,0,0,4.38,0,0,0,0,0,0,0,0
 60-70,0,0,2.06,0,0,0,0,0,0,0.71,5.69,0,0,0,0,0.87,1.22,1.81,0
 72-82,0,0,4.92,0.5,0,0,0.52,10.66,0,0,9.42,0,0,0,0,0,0,1.57,0
 84-94,0,0,2.27,0,0,1.47,0,0,2.06,0,3.1,0,0,0,0,0,0,0,0
 96-106,0,0,6.71,0,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0.59
108-118,0,0,0.81,0,0,0,0,3.13,0,0,9.09,4.92,0,0,0,0,0,0,0
120,0,0,4.38,0,3.71,1.78,0,0,0,3.21,17.06,0,1.31,0,0,0,0,0,9.96
