stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,85.14,1219.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.79,0,0,0,0,0,0,0,0,0,0
  5-6,50.76,701.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.32,0,0,0,8.83,0,25.49,0,0,0,0,0,0,0,0,0,0
  7-9,12.66,37.11,0,14.29,0,0,0,62.12,0,0,0,0,30.95,0,0,0,0,0,0,0,0,0,0,0,412.39,58.05,0,0,106.24,0,0,10.54,0,0,0,0,0,0,0,0,0
 10-12,0,31.32,0,35.89,0,0,0,38.89,0,0,0,0,18.32,0,0,0,0,0,0,0,0,0,0,0,764.1,20.11,0,0,235.12,0,0,10.95,0,19.26,0,0,0,0,0,0,0
 14-21,0,0,1.07,1.83,42.3,10.48,0,21.22,1,0,3.03,0.91,0.87,1.07,0,0.9,0,0,0,2.14,17.93,0,0,16.17,211.42,4.3,0,2.8,0,0,12.61,0,38.02,3.91,32.1,71.6,0,0,4.47,0,0
 24-34,0,0,0,1.82,11.2,1.57,0,17.43,0.86,0,5.54,0,0,0.67,0.6,4.57,1.14,0.75,0,0.63,33.99,0.69,0,27.02,311.44,1.32,0.6,3.28,0,0,6.4,0,0,1.68,3.27,85.88,0,0,30.43,0,4.39
 36-46,0,0,0,0.96,16.53,0.76,0,58.94,0.57,1.34,30.9,0,0,1.56,0,0,0,1.61,17.19,0.58,104.05,0.95,1.26,40.84,501.38,0,3.96,2.3,0,2.1,22.26,0,0,0,0,143.17,0,0,12.23,0,1.34
 48-58,0,0,0,0,10.59,0,0,77.56,1.3,0,22.9,0,0,0,3.84,0,0,0,1.84,0,38.3,0.59,0.71,3.34,214.77,0,0,2.89,0,0,9.47,0,0,0,0,32.39,0,0.4,7.45,0,0
 60-70,0,0,0.89,0,12.61,2.8,0,162.96,0,3.34,65.5,0,0,0,1.83,1.02,3.54,1.8,0,0,82.07,0,6.97,7.46,286.42,0,4.9,0,0,0,6.97,0,0,1.06,0,29.76,0.61,2.39,6.59,2.04,1.96
 72-82,0,0,0,0,2.25,0,0.76,68.38,4.53,2.09,24.77,3.37,0,0,14.83,0,0,4.17,0,0,42.49,0,2.02,0.65,105.12,0,0,1.45,0,0,0.75,0,0,0,0,10.42,0,1.24,4.59,0,0
 84-94,0,0,0,0,14.35,0,0,141.86,0,2.73,37.56,7.57,0,3.47,23.29,0,0,0,1.22,1.76,70.94,3.08,9.15,7.02,214.22,0,1.67,7.22,0,5.27,22.51,0,0,0,0,13.39,0.55,1.13,10.95,0.87,0
 96-106,0,0,0,0,11.81,6.23,0,36.16,0,0.96,30.26,3.83,0,1.41,27.1,0.85,0.72,1.7,0,0,40.82,0,0,5.68,112.48,3.21,2.28,6.37,0,0,11.62,0,0,0,0,5.86,2.04,2.09,11.21,3.1,0
108-118,0,0,0,0,25.09,0.46,0.76,52.16,0,3.94,39.73,8.27,0,0,23.9,0.44,0.99,4.57,0.45,0,44.01,0,6.03,4.85,150.26,1.66,1.98,1.97,0,4.56,19.95,0,0,0,0,6.67,0.71,0,12.06,0,2.03
120,0,0,0,0,14.47,5.71,1.89,37.73,1.31,5.27,16.8,1.38,0,0,37.96,1.4,11.36,0,0,0,21.4,0,0,1.54,75.78,0,3.86,2.92,0,0,13.98,0,0,0,0,10.6,0,6.5,1.32,0,0
