stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,179.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.28,0,0,0,0,0,0,0,0
  5-6,7.95,164.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01,4.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0.86,1.82,3.94,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.6,0,0,0,0.67,0,28.58,0,3.47,0,0,0,0,0,0,0.79,0,0,0,0
 36-46,0,0,0,12.21,0,0,0,0,0,0,0,0,0,22.85,0,3.55,0,0,0,0,0,0,2.26,0,0,0,0
 48-58,0,0,0,19.66,0,0,0,0,0,0,0,1.4,0,36.94,0,0,0,0,0,0,0,0,0,0,0,0,1.16
 60-70,0,0,0,460.79,0,2,0,0,0,0,0,1.03,0.89,32.3,0,0,0,0,0,0,0,0,3.48,0,0,0,0
 72-82,0,0,0,867.31,0,16.73,0,0,0,0,10.65,11.49,0,107.46,0,0.49,1.27,0,0,1.23,0,0,0,0,3.59,0.76,0
 84-94,0,0,0,553.96,0,24.68,0,0,0.71,0,0,1.51,0,87.49,0,0,0,0,4.51,1.07,0,0,4.7,0.9,0,0,4.14
 96-106,0,0,2.85,1043.51,0,26.2,0,0.69,0,0,0,9.33,0,109.4,0,3.22,0,0,0.8,1.71,0,0,1.91,0,0,0,0
108-118,0,0,0,667.49,0,20.76,0,1.2,0,1.52,0,1.5,0,126.54,0,0,1.27,1.23,0,0,0,0,0.47,0,0,0,0
120,0,0,6.02,525.7,14.64,19.89,1.38,2.18,0,0,0,25.03,0,157.14,0,0,0,0,0,0,0,0,0,0,0,0,0
