stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,28.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,1.1,0,0,0,0,0
 36-46,0,0,0,126.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0.56,2.84,0,0,0,0,0
 48-58,0,2.55,0,889.41,0,0,0,1.27,0,0,0,0,0,0,0,0.53,0,0,0,11.61,0,0,0,0,0,1.01,0,0,0,0,0
 60-70,0,0,3.4,5083.97,0,0,0,0.66,1.82,0,0,0,0,0,0,2.24,0,0,0,63.83,0,0,0,7.61,3.68,5.5,0,0,0,0,0
 72-82,0,11.82,31.33,5101.81,0,0,1.07,7.8,4.51,0.67,1.84,0,0,0,7.34,27.33,0,2.11,1.17,106.8,0,1.86,1.42,2.48,0,0,0,0,2.13,4.33,0
 84-94,0,18.29,0,5445.29,1.69,1.57,0,15.15,0.97,2.66,0,0.71,0.64,0,1.76,20.63,1.6,2.54,0,38.49,0.62,3.29,0.94,0.63,0,4.96,0,3.9,0,0,0
 96-106,0,12.05,0,3360.28,0,3.86,0,14.83,0,0,5.88,1.99,1.01,0.88,0,11.17,0,0.7,2.02,118.91,0,0,0,1.86,0,2.47,0,0,1.6,0,7.73
108-118,0,5.31,3.01,2251.67,0,0,0.96,8.72,0,0,0,0,0,1.46,0,14.59,0,1.3,3.37,55.77,1.22,0,0,4.55,3.51,3.24,3.42,1.88,0,2.47,0
120,0,6.67,0,1868.67,1.01,1.78,0,3.18,0,0,0,8.53,0,0,0,21.06,0,0,0,43.21,0,0,8.44,11.77,0,0,0,0,0,0,0
