stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.51,235.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0
  5-6,31.37,416.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.36,7.37,3.67,0,0,0,12.65,0,0,0,0,0,22.47,0,0,0,0,0,0,0,0,0,290.28,0,0,0,84.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.39,0,0,0,25.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.57,0,0,0,27.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.13,0,0,10.1,0,0,0,1.39,0,0,0,0,0,0,0,0,7.74,0,0.9,55.44,0,0,0,0.84,0,7.11,3.73,0,9.94,13.18,0,0,0,0,0
 24-34,0,0,0,0.93,0.81,0,8.55,0,0,0,3.05,0.77,0,0,0,0,0.74,0,0,6.98,0,3.8,112.89,0.6,0.86,0,0,0,0,0,0,0,19.48,0,0,2.45,0,0
 36-46,0,0,0,0.59,0,0,25.12,0,0,0,4.93,0,0,0,0,0,0,0,0.85,9.49,0,0,106.16,0,2.22,0.76,0,2.85,13.06,0,0,0,18.95,0,0,1.01,0,0
 48-58,0,0,0,2.03,0,0,37.76,0,1.58,0,8.25,0,0,0,0,0,1.59,0,0,11.95,0.49,1.96,81.76,0,0.37,0,0,0,0,0,0,0,29.24,0,0,1.89,0,0.56
 60-70,0,0,0,0.97,0.93,0,69.03,0,0,0.83,8.76,1.03,0,0,0,0.6,0,0,0,7.17,0,0.6,104.14,0,2.73,2.01,0,0,6.02,0,0,0,8.63,0,0,0,0,0
 72-82,0,0,0,0,1.3,0,51.43,0,0.62,1.98,17.12,1.01,0,0,0,0,0.79,0,0,26.29,0,1.29,71.95,0,1.53,1.14,0,0.77,10.4,0,0,0,5.19,2.32,0,1.95,0.51,14.46
 84-94,0,0,0,2.28,0,0,36.42,0,1.15,1.27,4.04,0,0,2.59,0.86,0,1.72,0,0,1.48,0.94,2.01,31.92,0,0,2.23,0,0,5.5,0,0,0,13.97,0,0,6.92,0,0.82
 96-106,0,0,0,1.76,2.95,0,29.33,0,0.62,0,9.55,0,0,0,0,2.11,0,7.71,0,16.3,0,5.12,32.81,0,0,0.61,0,0,7.92,0,0,0,4.51,0,2,7.39,0,0
108-118,0,0,0,3.67,0.46,4.71,14.25,0.54,0.48,2.07,6.19,1.27,0,1.52,0,1.58,0,1.34,0,10.65,0,0.69,56.65,0,4.42,0,0,0,1.65,0,0.87,0,0,0,1.35,3.21,0,0
120,0,0,0,0,0,0,16.19,0,1.16,0,0,0,0,0,0,0,4.83,0,0,3.34,0,0,61.04,0,0,5.49,0,0,3.15,0,0,0,8.71,0,0,8.38,0,0
