stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,0,46.71,0,0,0,0,0,0,0,0,1.12,37.81,0,0,0,0,0
 24-34,0,0,1.18,1.98,0.76,0,11.54,0,0,0,0,0,0,0,0,0,16.05,0,6.14,0,0,5.97,272.49,0,0,0,0,0,0,0.88,0,0,222.04,0,0,0,0,0
 36-46,0,0,0,0,0,0,17.19,0,0,0,2.18,0,0,0,0,0,0,0,36,0,0,2.41,839.78,0,0,0,0,0,0,5.54,0,0,141.5,0,0,8,0,0
 48-58,0,0,0,7.84,0,0,124.48,0,0,0,6.47,0.56,0,0,5.16,0,0,0,22.79,0,0.9,4.48,1575.1,0,0,0,0,0,2.54,0.55,0,0,129.62,0,0,0,0,5.42
 60-70,0,0,0,0,0,0,730.9,0.89,0,3.65,3.99,0,0,3.34,0,0,0,0,22.29,0,0,2.73,1978.3,0,0,1.82,0,0,1.74,0,0,0,142.35,0,0,22.08,0,10.68
 72-82,0,0.64,0,7.81,0,0,2222.72,0,0.94,8.42,60.15,1.06,2.95,0,0,0,0,0,61.69,0,0,5.38,2527.78,0,1.23,5.32,0,0,0,0,0.58,0,107.14,2.31,0,5.44,1.33,6.55
 84-94,0,0,0,9.04,5.19,0,1469.77,0.68,0,2.65,38.67,0.97,1.07,1.2,0,1.38,2.93,5.92,52.7,0,0.66,4.61,1555.28,0,0,5.7,0,0,2.74,0,0,0,85.2,0.9,1.91,1.68,3.19,16.38
 96-106,0,0,0,11.99,0,0,2101.89,0,0,13.47,20.79,2.25,1.83,1.28,0.76,0,1.54,3.42,48,0,1.06,1.41,1643.61,0,1.82,6.91,0,2.43,1.88,0,0,0,29.78,2.75,0,0,3.7,16.18
108-118,0,0,0,27.25,12.92,1.7,1618.67,0.56,0,0.48,55.92,0.43,1.96,2.85,0.89,0,0,0,35.98,4.11,1.5,2.25,1623.99,3.01,1.3,16.28,0,0.96,1.79,5.93,0,0,21.92,1.78,0,0.48,1.68,1.42
120,0,0,0,22.27,3.09,0,1572.22,0,0,0,79.13,1.53,0,2.65,0,1.12,0,0,68.3,1.49,0,4.14,2937.78,0,0,8.16,0,0,5.87,0,0,0,193.83,0,12.35,1.78,0,0
