stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,1.04,0,0,0,0
 24-34,0.88,0.83,0,0,0,0,0,0,0,1.78,0,1.21,0,0,1.72,0,1.87,7.15,0,0,0,1.33,0,5.92,0,0,0,0
 36-46,0,0,0,1.33,0,0,0,1.85,0,0,0,1.15,0,0,0.76,0,0.66,7.13,0,1.88,0,2.73,0,1.56,0,0,0,0
 48-58,0,0.4,0,2.79,0,0,0.91,0,0,0,0.39,1.54,0,0,2.82,0,1.13,12.52,0.93,0,0,1.35,0,1.28,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.83,0,0,0,0,0,0,6.36,0,0.65,9.91,0,0,0,2.47,0,0,0,0,0,0
 72-82,0,0,0,0.8,0,0,0,0,0.85,0,0,0,0,0,6.41,2.6,2.03,23.82,2.34,0.59,0,5.55,0.64,1.96,0,0,0,0
 84-94,0,6.6,0,2.65,0.7,7.57,0.82,0,0,0,3.69,0,0,0,8.08,0,0.68,5.62,13.14,0,0,29.11,0,0,0,0,9.57,0
 96-106,0,0,2.35,3.63,0,0,0,2.23,2.08,1.52,3.18,0,0,0,16.57,0.93,2.14,24.01,0,0,0,20.34,0,0,0,0,3.43,0
108-118,0,0.95,0,1.36,0,0,1.46,0,1.29,0,3.99,0,0.51,3.67,26.62,0,0.83,39.24,7.65,0.64,0.76,9.27,0.84,4.15,0.71,1.35,7.31,2.67
120,0,4.54,0,8.88,0,1.04,0,0,1.31,0,0,0,1.01,0,18.91,0,0,60.57,0,0,0,39.24,0,9.27,0,0,0,0
