stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,262.97,4484.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.77,0,0,0,0
  5-6,162.1,2832.02,0,0,0,0,0,0,0,0,0,0,0,35.78,0,0,16.34,27.57,0,0,0,0
  7-9,4.06,23.85,32.21,0,0,19.2,0,14.67,0,0,0,0,0,236.96,25.53,0,100.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3,4.45,0,0,0,0,0,0,0
 14-21,0,0,0,2.1,1.21,0,0,0,0,0,0,1.83,0,2.55,0,0,0.95,6.2,1.77,1.12,0,0
 24-34,0,0,0,0,0,0.97,0,0,0,0,0,0,0.7,0,0,0,0,0,0,1.49,0.98,0
 36-46,0,0,0,1.8,0,0,0,0,0,0,0,2.67,0,0.6,0,0,0,0.59,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.49,0,0,0.63,0,2.69,0,0,0,0.82,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,0,0,0,1,0,0,0,0
 72-82,0,0,0,1.82,0,1.14,2.57,0,0,0,0,0.79,0,0.95,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.55,2.07,0,0,0,0.73,0,0,4.87,0,2.6,0,3.25,0,0,0,0
 96-106,0,0,0,0,0,0.98,0,0,0,1.15,0,1.92,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.54,0,0,0,0,0,2.31,0,1.49,0,0,0,0,0,5.48,0,0,0,3.15
120,0,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0
