stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.11,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.81,128.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.22,0,9.33,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.59,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,28.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.85,7.44,0,0,14.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.98,5.51,15.01,0,0,0,0,2.18,0,0,0,0,0.9,0,0,0,0,0,0,36.2,0,10.83,35.13,0,0,0,3.27,3.8,7.01,0,0,8.9,0,0
 24-34,0,0,0,2.16,1.56,3.36,0,4.16,0,0,0,0.69,4.49,0,0,16.34,1.04,2.96,0.66,0.71,2.47,0,154.96,8.1,36.43,9.66,0,0,2.53,0,0.65,32.61,0,0,29.98,0,9.1
 36-46,0,0,0,0,2.42,6.7,0,12.57,0,0,4.06,0,0,0,0.81,8.28,0,4.48,1.74,1.54,3.75,0,340.34,3.75,59.71,6.34,0,0,0,1.56,0,57.6,0,0,13.8,0,15.6
 48-58,0,0,0,0.75,1.85,0,0,61.07,0,0,37.82,0.81,0,0,0,6.7,4.11,3.94,3.6,22.65,18.15,0,510.76,1.02,39.93,4.85,0,2.48,0,0,0,67.08,0,0,15.62,0,26.66
 60-70,0,0,2.11,0.68,1.05,0,0,440.55,0,0.83,70.33,7.48,0,0,0.73,0.8,10.81,12.95,0,131.82,13.29,0,759.59,1.36,50.92,10.53,0,0,0.68,0,0,93.78,0,0,19.48,0,10.76
 72-82,0,0,0.69,0,3.42,0,1.82,823.64,0,5.85,57.02,22.07,0.59,1.79,2.65,0,1.05,21.43,0,152.73,15.96,3.1,729.5,5.96,74.64,11.47,0,0,0,0,0,91.02,6.59,0.66,41.5,0,24.29
 84-94,0,0,4.39,1.04,6.09,0,3.65,527.47,0,1.27,35.1,44.28,2.11,0,2.84,1.89,2.57,17.32,0.6,158.89,30.98,1.56,525.58,0,50.43,4.84,0,5.34,0,0,0,47.6,7.88,0,18.85,0.77,17.57
 96-106,0,0,1.15,0,5.12,4.39,9.36,800.12,0,0,36.46,51.95,2.38,0,4.92,3.24,0.57,28.62,3.24,96.04,43.95,1.73,428.93,0,77.94,8.29,0,5.7,0,0,0,30.96,15.51,1.36,61.12,0,19.86
108-118,0,0,1.17,0,11.72,11.31,95.82,721.43,0,1.16,42.97,70.98,0,0,3.58,4.95,19.11,30.09,5.91,77.91,30.25,2.14,586.38,0,49.65,6.72,0,4.63,0.62,0,0,13.22,2.3,0,36.73,0.57,9.36
120,0,0,0,0,8.97,10.51,12.65,367.49,1.09,0,47.24,98.46,0,0,3.52,6.87,3.7,13.4,0,110.45,9.44,1.05,667.86,0,62.45,14.87,0,0,0,0,0,29.46,1.27,0,95.05,0,3.6
